Geography,Geography Code,Rural Urban,Tenure: All categories: Tenure; measures: Value,Tenure: Owned: Total; measures: Value,Tenure: Owned: Owned outright; measures: Value,Tenure: Owned: Owned with a mortgage or loan; measures: Value,Tenure: Shared ownership (part owned and part rented); measures: Value,OOS,Tenure: Social rented: Total; measures: Value,Tenure: Social rented: Rented from council (Local Authority); measures: Value,Tenure: Social rented: Other social rented; measures: Value,SRS,Tenure: Private rented: Total; measures: Value,Tenure: Private rented: Private landlord or letting agency; measures: Value,Tenure: Private rented: Employer of a household member; measures: Value,Tenure: Private rented: Relative or friend of household member; measures: Value,Tenure: Private rented: Other; measures: Value,PRS
ST11,ST11,Total,4306,3583,2001,1582,16,7166,309,140,169,618,344,302,6,36,0,688
ST12,ST12,Total,1663,1203,701,502,2,2406,263,113,150,526,162,147,1,12,2,324
ST13,ST13,Total,12274,9053,4763,4290,47,18106,1414,437,977,2828,1589,1436,15,123,15,3178
ST14,ST14,Total,8073,5950,2990,2960,85,11900,1046,356,690,2092,873,765,25,69,14,1746
ST15,ST15,Total,9209,6861,3459,3402,29,13722,1027,307,720,2054,1167,1053,14,84,16,2334
ST16,ST16,Total,13307,8067,3672,4395,77,16134,2253,626,1627,4506,2770,2281,94,155,240,5540
ST17,ST17,Total,17101,12038,5935,6103,126,24076,2992,933,2059,5984,1752,1589,16,122,25,3504
ST18,ST18,Total,6445,5299,2991,2308,22,10598,387,115,272,774,634,547,39,33,15,1268
ST19,ST19,Total,6219,4702,2639,2063,21,9404,770,72,698,1540,620,561,16,35,8,1240
ST2,ST2,Total,14953,8409,4462,3947,56,16818,5095,3451,1644,10190,1146,1008,6,98,34,2292
ST20,ST20,Total,2853,2269,1172,1097,2,4538,243,108,135,486,287,249,10,23,5,574
ST21,ST21,Total,2379,1823,1025,798,10,3646,204,85,119,408,306,263,15,25,3,612
ST3,ST3,Total,28592,18662,9027,9635,111,37324,6859,6012,847,13718,2493,2240,11,213,29,4986
ST4,ST4,Total,24835,15151,7161,7990,120,30302,3999,2605,1394,7998,5230,4832,39,259,100,10460
ST5,ST5,Total,34908,23029,11587,11442,178,46058,7338,2586,4752,14676,3911,3501,35,287,88,7822
ST6,ST6,Total,27585,15875,7552,8323,76,31750,7014,5527,1487,14028,4130,3853,10,230,37,8260
ST7,ST7,Total,22840,17502,9170,8332,66,35004,3014,894,2120,6028,2005,1798,9,160,38,4010
ST8,ST8,Total,8753,6876,3718,3158,20,13752,1004,432,572,2008,764,673,4,79,8,1528
ST9,ST9,Total,4926,4518,2797,1721,7,9036,104,37,67,208,249,215,6,23,5,498
SW10,SW10,Total,9360,3689,2182,1507,55,7378,2322,1396,926,4644,3067,2909,19,110,29,6134
SW11,SW11,Total,31920,13293,5387,7906,433,26586,8307,5394,2913,16614,9543,9054,39,381,69,19086
SW12,SW12,Total,13444,6679,2557,4122,129,13358,2132,801,1331,4264,4377,4183,16,153,25,8754
SW13,SW13,Total,6859,4093,2177,1916,20,8186,1124,332,792,2248,1521,1437,18,54,12,3042
SW14,SW14,Total,7028,4508,2058,2450,21,9016,885,199,686,1770,1542,1449,8,77,8,3084
SW15,SW15,Total,25564,11697,5563,6134,323,23394,5382,4470,912,10764,7859,7362,92,297,108,15718
SW16,SW16,Total,31898,16108,6249,9859,417,32216,5031,2673,2358,10062,10012,9642,19,277,74,20024
SW17,SW17,Total,25863,11866,4778,7088,235,23732,4343,1970,2373,8686,9136,8725,49,305,57,18272
SW18,SW18,Total,24664,13035,4697,8338,497,26070,3478,1907,1571,6956,7452,7017,82,296,57,14904
SW19,SW19,Total,32895,17592,7881,9711,293,35184,3928,1885,2043,7856,10713,10244,46,353,70,21426
SW1A,SW1A,Total,149,60,46,14,0,120,1,0,1,2,72,65,0,1,6,144
SW1E,SW1E,Total,310,170,105,65,4,340,15,1,14,30,103,83,8,2,10,206
SW1H,SW1H,Total,427,155,96,59,8,310,41,5,36,82,197,184,6,4,3,394
SW1P,SW1P,Total,6713,2068,1273,795,93,4136,2331,901,1430,4662,1989,1735,90,89,75,3978
SW1V,SW1V,Total,11802,3466,2011,1455,93,6932,4045,1795,2250,8090,3982,3740,16,171,55,7964
SW1W,SW1W,Total,4418,1231,805,426,102,2462,1253,420,833,2506,1630,1505,65,28,32,3260
SW1X,SW1X,Total,3190,1180,863,317,16,2360,148,9,139,296,1507,1433,10,28,36,3014
SW1Y,SW1Y,Total,326,76,58,18,2,152,10,0,10,20,217,188,15,2,12,434
SW2,SW2,Total,23163,7663,2445,5218,409,15326,7915,4272,3643,15830,6940,6576,28,243,93,13880
SW20,SW20,Total,11629,7745,3630,4115,39,15490,916,245,671,1832,2807,2653,24,111,19,5614
SW3,SW3,Total,11755,4807,3481,1326,44,9614,1924,702,1222,3848,4508,4254,53,124,77,9016
SW4,SW4,Total,17070,5740,2087,3653,195,11480,5428,3249,2179,10856,5536,5260,20,199,57,11072
SW5,SW5,Total,8322,2735,1535,1200,65,5470,1634,157,1477,3268,3703,3553,29,77,44,7406
SW6,SW6,Total,28585,11341,5475,5866,459,22682,7337,4056,3281,14674,8965,8466,40,393,66,17930
SW7,SW7,Total,9345,3843,2639,1204,37,7686,514,53,461,1028,4418,4167,82,92,77,8836
SW8,SW8,Total,16513,4281,1604,2677,525,8562,6660,3822,2838,13320,4859,4589,45,180,45,9718
SW9,SW9,Total,18654,3880,1158,2722,294,7760,9484,4953,4531,18968,4795,4472,17,227,79,9590
SY1,SY1,Total,11410,6975,3134,3841,84,13950,2276,775,1501,4552,1939,1795,15,106,23,3878
SY10,SY10,Total,5990,4561,2706,1855,34,9122,647,495,152,1294,637,557,19,51,10,1274
SY11,SY11,Total,11600,7738,3985,3753,50,15476,1918,1337,581,3836,1716,1561,24,110,21,3432
SY12,SY12,Total,3403,2401,1370,1031,24,4802,375,53,322,750,534,483,16,26,9,1068
SY13,SY13,Total,8158,5662,3086,2576,54,11324,981,203,778,1962,1336,1227,33,57,19,2672
SY14,SY14,Total,2403,1743,1002,741,35,3486,222,69,153,444,355,320,12,20,3,710
SY15,SY15,Total,2195,1579,986,593,6,3158,195,131,64,390,362,313,13,27,9,724
SY16,SY16,Total,7016,4199,2438,1761,22,8398,1655,1088,567,3310,1032,908,15,97,12,2064
SY17,SY17,Total,1540,1153,765,388,0,2306,165,124,41,330,186,170,1,14,1,372
SY18,SY18,Total,2126,1444,993,451,8,2888,281,209,72,562,350,315,2,29,4,700
SY19,SY19,Total,503,401,282,119,0,802,37,28,9,74,47,42,0,4,1,94
SY2,SY2,Total,7557,5099,2649,2450,67,10198,1456,398,1058,2912,825,749,8,59,9,1650
SY20,SY20,Total,3141,2153,1435,718,11,4306,429,270,159,858,458,384,5,62,7,916
SY21,SY21,Total,6967,4616,2795,1821,38,9232,997,505,492,1994,1148,1026,25,76,21,2296
SY22,SY22,Total,4014,3042,1884,1158,9,6084,334,212,122,668,558,502,8,45,3,1116
SY23,SY23,Total,11635,6916,4265,2651,39,13832,1281,365,916,2562,3172,2893,34,145,100,6344
SY24,SY24,Total,2025,1469,907,562,5,2938,154,42,112,308,366,339,3,20,4,732
SY25,SY25,Total,1969,1486,981,505,7,2972,102,41,61,204,320,283,2,29,6,640
SY3,SY3,Total,14678,10818,5854,4964,43,21636,1416,278,1138,2832,2237,1991,63,143,40,4474
SY4,SY4,Total,9848,7124,3900,3224,60,14248,995,173,822,1990,1511,1227,126,104,54,3022
SY5,SY5,Total,8708,6276,3639,2637,44,12552,1014,266,748,2028,1154,1019,31,77,27,2308
SY6,SY6,Total,2939,2248,1558,690,28,4496,276,22,254,552,328,299,4,20,5,656
SY7,SY7,Total,5215,3526,2407,1119,51,7052,556,46,510,1112,920,838,34,41,7,1840
SY8,SY8,Total,8457,5796,3813,1983,113,11592,1139,99,1040,2278,1232,1086,31,95,20,2464
SY9,SY9,Total,1251,788,549,239,11,1576,178,19,159,356,230,191,6,32,1,460
TA1,TA1,Total,17421,10829,5650,5179,82,21658,2976,2145,831,5952,3278,2999,58,180,41,6556
TA10,TA10,Total,3939,3020,1781,1239,30,6040,372,96,276,744,443,396,9,34,4,886
TA11,TA11,Total,3976,3041,1809,1232,25,6082,397,106,291,794,433,376,4,44,9,866
TA12,TA12,Total,2772,2004,1055,949,21,4008,388,115,273,776,311,269,6,31,5,622
TA13,TA13,Total,1819,1351,862,489,21,2702,241,62,179,482,170,139,5,24,2,340
TA14,TA14,Total,1299,912,490,422,15,1824,211,70,141,422,138,113,3,18,4,276
TA15,TA15,Total,365,237,138,99,2,474,77,19,58,154,39,33,1,4,1,78
TA16,TA16,Total,836,621,339,282,2,1242,112,27,85,224,83,72,2,7,2,166
TA17,TA17,Total,229,180,132,48,0,360,12,1,11,24,32,27,0,4,1,64
TA18,TA18,Total,4519,3244,1873,1371,40,6488,577,161,416,1154,574,526,6,38,4,1148
TA19,TA19,Total,5148,3772,2146,1626,26,7544,636,154,482,1272,643,562,13,55,13,1286
TA2,TA2,Total,10924,6891,3204,3687,45,13782,2191,1726,465,4382,1638,1447,37,108,46,3276
TA20,TA20,Total,8928,6301,3602,2699,84,12602,1414,406,1008,2828,999,887,14,90,8,1998
TA21,TA21,Total,7670,5293,2752,2541,45,10586,1207,855,352,2414,999,904,11,74,10,1998
TA22,TA22,Total,1268,825,578,247,4,1650,230,19,211,460,172,140,17,11,4,344
TA23,TA23,Total,2550,1708,1028,680,15,3416,438,36,402,876,351,316,3,24,8,702
TA24,TA24,Total,8374,5566,3872,1694,39,11132,1139,83,1056,2278,1457,1267,31,110,49,2914
TA3,TA3,Total,6080,4864,2919,1945,46,9728,435,296,139,870,631,547,9,37,38,1262
TA4,TA4,Total,7992,5736,3286,2450,42,11472,954,470,484,1908,1113,980,28,91,14,2226
TA5,TA5,Total,4310,3165,1865,1300,24,6330,466,209,257,932,541,452,21,56,12,1082
TA6,TA6,Total,19731,12412,5681,6731,99,24824,3332,2101,1231,6664,3643,3324,28,253,38,7286
TA7,TA7,Total,6239,5122,2928,2194,30,10244,466,312,154,932,529,459,10,49,11,1058
TA8,TA8,Total,7723,5912,3466,2446,35,11824,447,229,218,894,1240,1131,16,83,10,2480
TA9,TA9,Total,5210,3547,1886,1661,53,7094,908,535,373,1816,644,573,11,57,3,1288
TD12,TD12,Total,528,266,184,82,0,532,39,10,29,78,159,146,7,4,2,318
TD15,TD15,Total,7729,4611,2643,1968,26,9222,1630,423,1207,3260,1266,1129,38,86,13,2532
TF1,TF1,Total,15034,9527,4119,5408,51,19054,3059,1312,1747,6118,2189,2006,29,131,23,4378
TF10,TF10,Total,7181,5312,2828,2484,29,10624,774,261,513,1548,950,852,26,56,16,1900
TF11,TF11,Total,4316,2741,1423,1318,20,5482,678,487,191,1356,759,681,28,38,12,1518
TF12,TF12,Total,2419,1592,850,742,20,3184,417,338,79,834,349,314,5,27,3,698
TF13,TF13,Total,1591,1066,677,389,8,2132,229,161,68,458,254,225,7,18,4,508
TF2,TF2,Total,15680,10305,4420,5885,59,20610,3029,1227,1802,6058,2113,1821,87,129,76,4226
TF3,TF3,Total,9185,5334,1753,3581,25,10668,2058,872,1186,4116,1672,1542,3,110,17,3344
TF4,TF4,Total,7425,4317,1500,2817,77,8634,1985,772,1213,3970,976,890,4,76,6,1952
TF5,TF5,Total,1968,1658,611,1047,2,3316,86,35,51,172,209,194,0,15,0,418
TF6,TF6,Total,2002,1485,789,696,11,2970,176,68,108,352,285,260,9,13,3,570
TF7,TF7,Total,7161,3762,1724,2038,34,7524,1868,839,1029,3736,1404,1323,4,63,14,2808
TF8,TF8,Total,1273,932,462,470,3,1864,100,43,57,200,226,206,4,11,5,452
TF9,TF9,Total,10197,7296,3849,3447,65,14592,1253,222,1031,2506,1422,1178,107,73,64,2844
TN1,TN1,Total,5539,2545,966,1579,28,5090,622,50,572,1244,2295,2192,18,71,14,4590
TN10,TN10,Total,6619,4548,2533,2015,66,9096,1613,172,1441,3226,323,277,16,27,3,646
TN11,TN11,Total,5427,3922,2106,1816,39,7844,706,76,630,1412,637,551,47,22,17,1274
TN12,TN12,Total,11581,8746,4342,4404,71,17492,1321,156,1165,2642,1274,1127,38,92,17,2548
TN13,TN13,Total,9839,6982,3679,3303,124,13964,1012,73,939,2024,1547,1432,49,39,27,3094
TN14,TN14,Total,6133,4552,2472,2080,99,9104,718,49,669,1436,662,574,27,46,15,1324
TN15,TN15,Total,9762,7644,4081,3563,139,15288,985,133,852,1970,856,741,39,60,16,1712
TN16,TN16,Total,7766,6295,3015,3280,79,12590,579,93,486,1158,690,587,54,32,17,1380
TN17,TN17,Total,5603,3708,2075,1633,56,7416,931,150,781,1862,722,625,38,51,8,1444
TN18,TN18,Total,2668,1889,955,934,11,3778,378,33,345,756,345,304,11,26,4,690
TN19,TN19,Total,2032,1605,823,782,6,3210,191,30,161,382,196,174,4,13,5,392
TN2,TN2,Total,11820,7924,4018,3906,79,15848,2206,198,2008,4412,1495,1391,14,75,15,2990
TN20,TN20,Total,1608,1264,734,530,6,2528,104,50,54,208,178,162,4,11,1,356
TN21,TN21,Total,6720,5311,2805,2506,61,10622,399,286,113,798,851,770,10,62,9,1702
TN22,TN22,Total,10719,8320,4057,4263,86,16640,947,582,365,1894,1180,1082,15,66,17,2360
TN23,TN23,Total,15442,9490,3165,6325,331,18980,2650,1741,909,5300,2780,2549,28,161,42,5560
TN24,TN24,Total,12907,8504,3792,4712,122,17008,2050,1278,772,4100,2061,1851,36,144,30,4122
TN25,TN25,Total,6337,4900,2476,2424,69,9800,483,348,135,966,775,706,22,39,8,1550
TN26,TN26,Total,4577,3551,1975,1576,35,7102,503,431,72,1006,410,355,7,41,7,820
TN27,TN27,Total,5232,3999,2271,1728,43,7998,609,369,240,1218,482,409,13,54,6,964
TN28,TN28,Total,3623,2841,1673,1168,15,5682,275,147,128,550,440,374,7,48,11,880
TN29,TN29,Total,6017,4522,2704,1818,13,9044,621,507,114,1242,756,635,22,76,23,1512
TN3,TN3,Total,4573,3516,1903,1613,22,7032,382,84,298,764,544,477,30,26,11,1088
TN30,TN30,Total,4113,3047,1907,1140,40,6094,556,390,166,1112,405,371,3,25,6,810
TN31,TN31,Total,6214,4347,2725,1622,34,8694,912,164,748,1824,784,661,54,45,24,1568
TN32,TN32,Total,2052,1546,823,723,9,3092,214,34,180,428,231,189,15,23,4,462
TN33,TN33,Total,5300,3939,2251,1688,19,7878,605,166,439,1210,649,560,14,64,11,1298
TN34,TN34,Total,14035,7842,4245,3597,47,15684,1797,231,1566,3594,4212,3985,24,173,30,8424
TN35,TN35,Total,7381,5180,2818,2362,42,10360,928,149,779,1856,1150,1073,4,59,14,2300
TN36,TN36,Total,1122,852,560,292,4,1704,139,16,123,278,104,86,9,9,0,208
TN37,TN37,Total,9606,5107,2438,2669,32,10214,1161,112,1049,2322,3200,3005,29,141,25,6400
TN38,TN38,Total,12909,6938,3114,3824,89,13876,2288,298,1990,4576,3474,3276,18,142,38,6948
TN39,TN39,Total,12035,9036,5962,3074,65,18072,1227,226,1001,2454,1584,1464,10,95,15,3168
TN4,TN4,Total,13222,8652,3935,4717,170,17304,2061,162,1899,4122,2205,2068,13,106,18,4410
TN40,TN40,Total,8455,5715,3562,2153,48,11430,655,79,576,1310,1927,1809,10,99,9,3854
TN5,TN5,Total,3542,2700,1394,1306,23,5400,381,164,217,762,374,338,8,25,3,748
TN6,TN6,Total,9889,7836,3987,3849,128,15672,779,456,323,1558,1023,907,10,86,20,2046
TN7,TN7,Total,893,673,350,323,3,1346,86,56,30,172,108,90,5,12,1,216
TN8,TN8,Total,5289,3660,1809,1851,130,7320,811,135,676,1622,586,546,10,22,8,1172
TN9,TN9,Total,7260,4471,1985,2486,171,8942,1156,149,1007,2312,1373,1229,53,77,14,2746
TQ1,TQ1,Total,14921,9185,4919,4266,145,18370,855,59,796,1710,4577,4270,19,254,34,9154
TQ10,TQ10,Total,1703,1210,743,467,28,2420,218,40,178,436,214,198,3,12,1,428
TQ11,TQ11,Total,1785,1090,604,486,29,2180,285,77,208,570,358,316,13,25,4,716
TQ12,TQ12,Total,22378,16516,8341,8175,213,33032,2192,530,1662,4384,3253,2923,29,271,30,6506
TQ13,TQ13,Total,10110,7576,4457,3119,59,15152,840,211,629,1680,1472,1289,31,125,27,2944
TQ14,TQ14,Total,8944,6578,3980,2598,80,13156,656,148,508,1312,1518,1384,10,111,13,3036
TQ2,TQ2,Total,14589,9186,4456,4730,116,18372,1714,224,1490,3428,3434,3185,16,205,28,6868
TQ3,TQ3,Total,13207,9344,4954,4390,132,18688,1186,144,1042,2372,2426,2229,10,170,17,4852
TQ4,TQ4,Total,8556,6163,3707,2456,96,12326,454,32,422,908,1767,1628,11,117,11,3534
TQ5,TQ5,Total,8903,6559,4059,2500,69,13118,600,55,545,1200,1573,1405,10,143,15,3146
TQ6,TQ6,Total,3949,2571,1717,854,32,5142,653,120,533,1306,615,507,39,39,30,1230
TQ7,TQ7,Total,7669,5427,3599,1828,58,10854,954,162,792,1908,1110,973,17,105,15,2220
TQ8,TQ8,Total,1035,747,542,205,14,1494,156,19,137,312,105,82,4,17,2,210
TQ9,TQ9,Total,7750,5139,3243,1896,95,10278,1077,136,941,2154,1307,1176,11,105,15,2614
TR1,TR1,Total,9252,5711,3236,2475,100,11422,1645,1099,546,3290,1642,1488,21,111,22,3284
TR10,TR10,Total,4359,2756,1422,1334,38,5512,601,387,214,1202,909,812,9,54,34,1818
TR11,TR11,Total,12641,8222,4999,3223,77,16444,1657,1158,499,3314,2452,2201,27,171,53,4904
TR12,TR12,Total,3895,2851,1942,909,25,5702,412,99,313,824,523,425,23,63,12,1046
TR13,TR13,Total,8416,5878,3216,2662,41,11756,865,197,668,1730,1502,1125,178,106,93,3004
TR14,TR14,Total,10567,7152,4015,3137,56,14304,1326,426,900,2652,1898,1715,10,155,18,3796
TR15,TR15,Total,8712,5595,2809,2786,60,11190,1315,361,954,2630,1624,1482,7,115,20,3248
TR16,TR16,Total,6030,4637,2665,1972,34,9274,549,152,397,1098,741,651,9,74,7,1482
TR17,TR17,Total,684,380,262,118,1,760,139,20,119,278,138,128,1,8,1,276
TR18,TR18,Total,9477,5455,3384,2071,36,10910,1923,253,1670,3846,1882,1710,17,134,21,3764
TR19,TR19,Total,4114,2942,1897,1045,20,5884,391,40,351,782,656,571,6,70,9,1312
TR2,TR2,Total,4203,2975,1875,1100,48,5950,406,275,131,812,666,574,26,51,15,1332
TR20,TR20,Total,3964,2981,1868,1113,42,5962,296,39,257,592,579,512,13,46,8,1158
TR21,TR21,Total,772,373,286,87,1,746,166,118,48,332,196,143,17,13,23,392
TR22,TR22,Total,68,18,11,7,7,36,5,0,5,10,34,23,1,0,10,68
TR24,TR24,Total,95,2,2,0,0,4,3,2,1,6,36,15,17,0,4,72
TR25,TR25,Total,54,19,14,5,0,38,5,1,4,10,28,23,1,0,4,56
TR26,TR26,Total,5280,3650,2320,1330,48,7300,631,86,545,1262,863,754,16,84,9,1726
TR27,TR27,Total,6259,4427,2548,1879,87,8854,796,129,667,1592,856,743,14,85,14,1712
TR3,TR3,Total,5417,4290,2721,1569,48,8580,342,227,115,684,654,590,5,52,7,1308
TR4,TR4,Total,4661,3454,1884,1570,21,6908,294,187,107,588,803,709,10,74,10,1606
TR5,TR5,Total,1750,1263,809,454,27,2526,154,109,45,308,268,219,6,40,3,536
TR6,TR6,Total,1614,1136,678,458,6,2272,140,88,52,280,287,256,3,25,3,574
TR7,TR7,Total,8840,5552,2792,2760,49,11104,939,171,768,1878,2158,1855,87,157,59,4316
TR8,TR8,Total,3274,2403,1369,1034,26,4806,212,73,139,424,573,479,33,43,18,1146
TR9,TR9,Total,3329,2321,1226,1095,39,4642,322,71,251,644,596,521,6,68,1,1192
TS1,TS1,Total,7014,1957,1023,934,42,3914,1675,463,1212,3350,3173,3005,7,93,68,6346
TS10,TS10,Total,16205,10658,4794,5864,112,21316,3012,1423,1589,6024,2249,2025,6,185,33,4498
TS11,TS11,Total,5397,4305,2465,1840,11,8610,496,192,304,992,516,459,5,43,9,1032
TS12,TS12,Total,9980,6636,3255,3381,34,13272,1613,716,897,3226,1592,1453,25,98,16,3184
TS13,TS13,Total,4588,2871,1690,1181,13,5742,900,414,486,1800,745,674,5,49,17,1490
TS14,TS14,Total,7760,5876,3177,2699,17,11752,902,479,423,1804,865,763,11,84,7,1730
TS15,TS15,Total,5473,4388,2362,2026,8,8776,327,73,254,654,673,612,12,43,6,1346
TS16,TS16,Total,4338,3598,1767,1831,8,7196,209,74,135,418,481,434,1,36,10,962
TS17,TS17,Total,17699,11888,3850,8038,63,23776,3044,1508,1536,6088,2569,2357,9,169,34,5138
TS18,TS18,Total,10228,6053,2818,3235,26,12106,2069,1006,1063,4138,1944,1808,6,98,32,3888
TS19,TS19,Total,15473,9928,4403,5525,76,19856,3800,2256,1544,7600,1577,1380,6,163,28,3154
TS2,TS2,Total,315,69,19,50,0,138,185,135,50,370,61,56,1,1,3,122
TS20,TS20,Total,9261,6270,2987,3283,32,12540,1543,719,824,3086,1322,1195,3,120,4,2644
TS21,TS21,Total,5352,4205,2070,2135,6,8410,557,353,204,1114,527,474,9,39,5,1054
TS22,TS22,Total,3538,3154,1677,1477,10,6308,82,33,49,164,261,225,1,34,1,522
TS23,TS23,Total,12462,8516,3341,5175,30,17032,2304,1419,885,4608,1541,1389,6,121,25,3082
TS24,TS24,Total,9949,4115,1844,2271,42,8230,3924,1700,2224,7848,1726,1622,8,77,19,3452
TS25,TS25,Total,17148,10687,5282,5405,43,21374,4147,1923,2224,8294,2013,1816,9,158,30,4026
TS26,TS26,Total,10944,7410,3139,4271,110,14820,1232,328,904,2464,2054,1936,6,93,19,4108
TS27,TS27,Total,5367,4035,1915,2120,11,8070,769,420,349,1538,500,437,7,46,10,1000
TS28,TS28,Total,2259,1529,671,858,1,3058,446,412,34,892,246,222,1,21,2,492
TS29,TS29,Total,2690,1748,754,994,5,3496,640,428,212,1280,268,243,1,22,2,536
TS3,TS3,Total,12531,5232,2201,3031,50,10464,5181,3294,1887,10362,1764,1614,10,108,32,3528
TS4,TS4,Total,6999,3012,1205,1807,13,6024,2605,965,1640,5210,1224,1025,72,70,57,2448
TS5,TS5,Total,16025,12141,5997,6144,117,24282,1286,488,798,2572,2288,2076,5,188,19,4576
TS6,TS6,Total,13295,7695,3630,4065,51,15390,4092,2417,1675,8184,1332,1202,4,105,21,2664
TS7,TS7,Total,9432,7688,4193,3495,55,15376,902,438,464,1804,705,614,1,81,9,1410
TS8,TS8,Total,8890,5295,1967,3328,86,10590,2728,811,1917,5456,654,571,5,65,13,1308
TS9,TS9,Total,5780,4323,2644,1679,14,8646,800,82,718,1600,543,488,13,40,2,1086
TW1,TW1,Total,10956,6924,2998,3926,84,13848,565,99,466,1130,3239,3092,16,118,13,6478
TW10,TW10,Total,8478,4836,2571,2265,56,9672,1444,291,1153,2888,2010,1917,23,45,25,4020
TW11,TW11,Total,10091,6875,3112,3763,68,13750,1017,251,766,2034,2041,1926,15,76,24,4082
TW12,TW12,Total,9714,6436,2972,3464,123,12872,1615,438,1177,3230,1432,1326,16,72,18,2864
TW13,TW13,Total,13950,7256,2623,4633,444,14512,3872,2468,1404,7744,2221,2088,7,97,29,4442
TW14,TW14,Total,10416,5392,2012,3380,443,10784,2796,1874,922,5592,1656,1546,9,76,25,3312
TW15,TW15,Total,11037,8652,4018,4634,88,17304,899,130,769,1798,1295,1213,15,61,6,2590
TW16,TW16,Total,8142,5785,2607,3178,107,11570,1168,166,1002,2336,1000,923,18,49,10,2000
TW17,TW17,Total,6219,5002,2663,2339,75,10004,501,61,440,1002,578,514,24,28,12,1156
TW18,TW18,Total,11125,7862,3584,4278,105,15724,1245,268,977,2490,1800,1670,20,90,20,3600
TW19,TW19,Total,6429,3996,1726,2270,178,7992,1405,186,1219,2810,786,727,9,42,8,1572
TW2,TW2,Total,12379,9007,3940,5067,69,18014,1264,350,914,2528,1912,1753,38,89,32,3824
TW20,TW20,Total,9194,5478,2522,2956,74,10956,1478,1032,446,2956,2007,1863,47,63,34,4014
TW3,TW3,Total,13686,6608,2963,3645,326,13216,2058,1079,979,4116,4560,4369,18,116,57,9120
TW4,TW4,Total,8886,3925,1720,2205,152,7850,2556,1284,1272,5112,2104,1959,27,66,52,4208
TW5,TW5,Total,9361,5159,2303,2856,76,10318,1903,1357,546,3806,2097,1988,18,68,23,4194
TW7,TW7,Total,14450,7980,3315,4665,408,15960,2857,1873,984,5714,3025,2874,22,101,28,6050
TW8,TW8,Total,8561,3175,1244,1931,363,6350,3066,2310,756,6132,1839,1754,7,58,20,3678
TW9,TW9,Total,9950,5576,2738,2838,97,11152,1206,230,976,2412,2920,2793,29,74,24,5840
UB1,UB1,Total,11428,6340,3131,3209,138,12680,2163,1393,770,4326,2562,2367,8,130,57,5124
UB10,UB10,Total,12466,9182,4319,4863,79,18364,1254,745,509,2508,1842,1521,164,54,103,3684
UB2,UB2,Total,9614,4522,2050,2472,207,9044,2465,1250,1215,4930,2237,2089,17,83,48,4474
UB3,UB3,Total,15923,8090,3013,5077,295,16180,3682,2303,1379,7364,3678,3512,24,109,33,7356
UB4,UB4,Total,13326,8118,3176,4942,267,16236,2266,1300,966,4532,2487,2342,16,93,36,4974
UB5,UB5,Total,16827,8283,3049,5234,348,16566,4585,3111,1474,9170,3375,3227,10,108,30,6750
UB6,UB6,Total,17489,11011,4990,6021,227,22022,1629,1058,571,3258,4408,4179,21,177,31,8816
UB7,UB7,Total,11094,5341,2170,3171,284,10682,2936,1691,1245,5872,2420,2300,23,63,34,4840
UB8,UB8,Total,12821,7067,3139,3928,153,14134,2688,1974,714,5376,2787,2650,17,93,27,5574
UB9,UB9,Total,6074,4097,1980,2117,57,8194,1186,643,543,2372,664,579,25,46,14,1328
W10,W10,Total,14864,2991,1376,1615,291,5982,8815,4246,4569,17630,2572,2412,13,94,53,5144
W11,W11,Total,15284,4630,2854,1776,135,9260,6283,2880,3403,12566,3954,3712,65,125,52,7908
W12,W12,Total,20345,5786,2547,3239,348,11572,8490,4007,4483,16980,5446,5196,18,169,63,10892
W13,W13,Total,13372,7179,3273,3906,217,14358,2068,1090,978,4136,3722,3606,10,75,31,7444
W14,W14,Total,17782,6270,3031,3239,160,12540,3897,1913,1984,7794,7112,6761,37,225,89,14224
W1B,W1B,Total,270,121,86,35,1,242,6,0,6,12,127,116,2,4,5,254
W1D,W1D,Total,862,97,65,32,2,194,116,21,95,232,611,589,10,3,9,1222
W1F,W1F,Total,922,149,83,66,10,298,368,147,221,736,362,354,1,3,4,724
W1G,W1G,Total,1544,540,357,183,7,1080,51,5,46,102,855,812,15,16,12,1710
W1H,W1H,Total,3261,1011,631,380,11,2022,298,76,222,596,1824,1746,18,28,32,3648
W1J,W1J,Total,890,249,167,82,4,498,80,16,64,160,483,451,10,7,15,966
W1K,W1K,Total,1661,434,292,142,1,868,435,82,353,870,679,636,13,9,21,1358
W1S,W1S,Total,104,12,6,6,0,24,32,26,6,64,59,54,2,1,2,118
W1T,W1T,Total,1733,402,227,175,7,804,338,193,145,676,931,861,23,32,15,1862
W1U,W1U,Total,3049,952,595,357,13,1904,216,62,154,432,1773,1701,16,21,35,3546
W1W,W1W,Total,2170,610,332,278,14,1220,597,210,387,1194,867,818,12,22,15,1734
W2,W2,Total,23930,7334,4229,3105,196,14668,4450,2481,1969,8900,11271,10840,49,260,122,22542
W3,W3,Total,20917,7683,3493,4190,734,15366,5191,2555,2636,10382,6948,6679,19,154,96,13896
W4,W4,Total,19733,10729,5045,5684,71,21458,3042,2021,1021,6084,5632,5416,26,161,29,11264
W5,W5,Total,20511,10539,5091,5448,205,21078,2192,1105,1087,4384,7312,7064,42,174,32,14624
W6,W6,Total,15880,5447,2628,2819,172,10894,4912,2211,2701,9824,5106,4820,43,189,54,10212
