Geography,Geography Code,Rural Urban,Tenure: All categories: Tenure; measures: Value,Tenure: Owned: Total; measures: Value,Tenure: Owned: Owned outright; measures: Value,Tenure: Owned: Owned with a mortgage or loan; measures: Value,Tenure: Shared ownership (part owned and part rented); measures: Value,OOS,Tenure: Social rented: Total; measures: Value,Tenure: Social rented: Rented from council (Local Authority); measures: Value,Tenure: Social rented: Other social rented; measures: Value,SRS,Tenure: Private rented: Total; measures: Value,Tenure: Private rented: Private landlord or letting agency; measures: Value,Tenure: Private rented: Employer of a household member; measures: Value,Tenure: Private rented: Relative or friend of household member; measures: Value,Tenure: Private rented: Other; measures: Value,PRS
BD14,BD14,Total,3391,2372,1048,1324,21,4744,413,164,249,826,544,487,1,50,6,1088
BD15,BD15,Total,6152,4181,1793,2388,18,8362,1069,522,547,2138,808,734,5,55,14,1616
BD16,BD16,Total,11471,8434,4003,4431,48,16868,1143,441,702,2286,1740,1595,15,117,13,3480
BD17,BD17,Total,8107,5993,2844,3149,24,11986,812,404,408,1624,1149,1054,10,74,11,2298
BD18,BD18,Total,11462,7437,3283,4154,115,14874,1783,877,906,3566,1958,1820,9,111,18,3916
BD19,BD19,Total,9630,6760,2935,3825,25,13520,1282,1039,243,2564,1410,1269,9,118,14,2820
BD2,BD2,Total,11304,8121,3540,4581,93,16242,1108,497,611,2216,1847,1659,9,168,11,3694
BD20,BD20,Total,14824,11816,5929,5887,99,23632,799,242,557,1598,1921,1725,12,159,25,3842
BD21,BD21,Total,9970,6066,2883,3183,24,12132,1500,527,973,3000,2209,2010,13,150,36,4418
BD22,BD22,Total,12696,9009,3981,5028,116,18018,1549,695,854,3098,1853,1672,12,158,11,3706
BD23,BD23,Total,13161,9331,5487,3844,66,18662,1258,334,924,2516,2210,1982,61,118,49,4420
BD24,BD24,Total,2327,1683,1119,564,3,3366,238,42,196,476,354,308,10,29,7,708
BD3,BD3,Total,9864,5239,2486,2753,42,10478,2007,646,1361,4014,2359,2174,11,143,31,4718
BD4,BD4,Total,12546,6282,2441,3841,30,12564,3694,1605,2089,7388,2317,2112,6,133,66,4634
BD5,BD5,Total,10645,4736,2195,2541,78,9472,3111,1108,2003,6222,2468,2312,4,100,52,4936
BD6,BD6,Total,12348,8101,3005,5096,54,16202,1976,942,1034,3952,2057,1891,7,146,13,4114
BD7,BD7,Total,10865,6363,3191,3172,44,12726,1047,303,744,2094,3226,3031,5,141,49,6452
BD8,BD8,Total,9616,5030,2390,2640,65,10060,2290,576,1714,4580,2033,1863,8,118,44,4066
BD9,BD9,Total,8148,5487,2389,3098,37,10974,713,271,442,1426,1759,1621,12,94,32,3518
BH1,BH1,Total,9905,3577,1813,1764,80,7154,1129,382,747,2258,4996,4794,27,144,31,9992
BH10,BH10,Total,8613,6228,3199,3029,47,12456,1063,695,368,2126,1172,1053,4,96,19,2344
BH11,BH11,Total,8535,5218,2418,2800,52,10436,2319,1938,381,4638,841,751,5,77,8,1682
BH12,BH12,Total,14806,9640,4202,5438,158,19280,2415,1416,999,4830,2433,2220,7,179,27,4866
BH13,BH13,Total,4266,3288,2452,836,11,6576,77,39,38,154,827,773,3,45,6,1654
BH14,BH14,Total,10522,7404,3846,3558,18,14808,661,204,457,1322,2336,2193,19,102,22,4672
BH15,BH15,Total,14519,9211,4772,4439,260,18422,2111,1242,869,4222,2748,2388,141,161,58,5496
BH16,BH16,Total,6556,4649,2434,2215,61,9298,972,522,450,1944,795,707,19,61,8,1590
BH17,BH17,Total,9554,7004,2987,4017,83,14008,1230,596,634,2460,1174,1063,10,94,7,2348
BH18,BH18,Total,4576,4250,2546,1704,3,8500,82,67,15,164,212,191,4,17,0,424
BH19,BH19,Total,5352,3874,2654,1220,37,7748,592,91,501,1184,757,670,14,62,11,1514
BH2,BH2,Total,4776,1907,1076,831,112,3814,365,125,240,730,2347,2246,11,80,10,4694
BH20,BH20,Total,8492,5377,3289,2088,70,10754,1347,245,1102,2694,1527,1098,242,60,127,3054
BH21,BH21,Total,16867,12973,7297,5676,50,25946,1643,176,1467,3286,1895,1663,71,113,48,3790
BH22,BH22,Total,12199,10178,6666,3512,46,20356,960,95,865,1920,925,785,43,60,37,1850
BH23,BH23,Total,23537,17623,10770,6853,189,35246,2903,278,2625,5806,2556,2330,36,170,20,5112
BH24,BH24,Total,10135,7958,4804,3154,54,15916,790,486,304,1580,1216,1067,28,92,29,2432
BH25,BH25,Total,11916,9071,6033,3038,80,18142,1285,804,481,2570,1348,1241,21,75,11,2696
BH3,BH3,Total,2295,1454,744,710,8,2908,132,9,123,264,683,650,5,21,7,1366
BH31,BH31,Total,5501,4678,2363,2315,12,9356,344,48,296,688,421,370,1,45,5,842
BH4,BH4,Total,5121,2923,1664,1259,19,5846,333,128,205,666,1784,1676,4,95,9,3568
BH5,BH5,Total,5644,2511,1229,1282,59,5022,333,67,266,666,2688,2570,8,94,16,5376
BH6,BH6,Total,10058,6890,3712,3178,31,13780,772,252,520,1544,2268,2122,7,128,11,4536
BH7,BH7,Total,4965,3383,1500,1883,9,6766,238,53,185,476,1293,1162,50,45,36,2586
BH8,BH8,Total,11964,6239,2654,3585,108,12478,1958,1015,943,3916,3543,3336,9,152,46,7086
BH9,BH9,Total,12194,8092,3359,4733,57,16184,704,339,365,1408,3238,3018,8,189,23,6476
BL0,BL0,Total,7708,6058,2741,3317,24,12116,630,394,236,1260,911,813,9,80,9,1822
BL1,BL1,Total,27244,16094,7878,8216,128,32188,5851,4126,1725,11702,4661,4341,12,250,58,9322
BL2,BL2,Total,19860,12588,6220,6368,73,25176,4715,3541,1174,9430,2191,1990,12,167,22,4382
BL3,BL3,Total,25170,14613,7429,7184,172,29226,6060,3920,2140,12120,3809,3465,16,257,71,7618
BL4,BL4,Total,14271,7994,3446,4548,89,15988,4166,3116,1050,8332,1775,1606,13,125,31,3550
BL5,BL5,Total,11504,8750,3742,5008,66,17500,1282,710,572,2564,1295,1165,7,110,13,2590
BL6,BL6,Total,12690,9527,4429,5098,63,19054,1571,1020,551,3142,1404,1260,7,124,13,2808
BL7,BL7,Total,6385,5391,2724,2667,10,10782,245,167,78,490,688,623,6,52,7,1376
BL8,BL8,Total,14886,12026,5780,6246,31,24052,1127,853,274,2254,1553,1417,5,119,12,3106
BL9,BL9,Total,20448,13146,6208,6938,90,26292,3787,2391,1396,7574,3078,2799,16,229,34,6156
BN1,BN1,Total,36509,20046,8628,11418,385,40092,4042,2423,1619,8084,11617,11013,54,475,75,23234
BN10,BN10,Total,8103,6008,2985,3023,81,12016,722,389,333,1444,1223,1108,5,95,15,2446
BN11,BN11,Total,16378,9098,4631,4467,101,18196,1632,304,1328,3264,5389,5040,37,250,62,10778
BN12,BN12,Total,9272,7561,4745,2816,28,15122,747,252,495,1494,848,771,10,59,8,1696
BN13,BN13,Total,11856,8764,4266,4498,35,17528,1658,320,1338,3316,1302,1181,7,102,12,2604
BN14,BN14,Total,12908,10095,4681,5414,56,20190,783,231,552,1566,1865,1700,18,128,19,3730
BN15,BN15,Total,12221,9195,4846,4349,51,18390,1488,1092,396,2976,1317,1175,20,113,9,2634
BN16,BN16,Total,13178,10648,6700,3948,102,21296,982,537,445,1964,1302,1172,16,93,21,2604
BN17,BN17,Total,12417,8101,4109,3992,190,16202,1448,747,701,2896,2554,2404,18,112,20,5108
BN18,BN18,Total,5659,4133,2279,1854,42,8266,616,343,273,1232,723,627,30,48,18,1446
BN2,BN2,Total,40690,19813,9156,10657,357,39626,9309,6579,2730,18618,10630,9984,37,519,90,21260
BN20,BN20,Total,9516,7285,4500,2785,22,14570,822,619,203,1644,1274,1170,38,58,8,2548
BN21,BN21,Total,12806,7045,4181,2864,60,14090,869,204,665,1738,4666,4314,97,171,84,9332
BN22,BN22,Total,13790,8533,4195,4338,98,17066,2398,1361,1037,4796,2632,2436,25,153,18,5264
BN23,BN23,Total,12514,8141,4176,3965,124,16282,1919,1180,739,3838,2220,2083,6,118,13,4440
BN24,BN24,Total,4077,3391,1825,1566,24,6782,126,89,37,252,480,432,5,39,4,960
BN25,BN25,Total,10794,8389,5212,3177,50,16778,835,562,273,1670,1421,1316,7,87,11,2842
BN26,BN26,Total,5440,4303,2616,1687,26,8606,360,243,117,720,669,591,16,55,7,1338
BN27,BN27,Total,11319,8623,4735,3888,121,17246,1305,737,568,2610,1125,981,17,112,15,2250
BN3,BN3,Total,37724,20604,9005,11599,213,41208,3555,2159,1396,7110,12876,12331,32,459,54,25752
BN41,BN41,Total,8578,5702,2294,3408,121,11404,1588,990,598,3176,1070,962,10,89,9,2140
BN42,BN42,Total,4225,3107,1552,1555,6,6214,631,564,67,1262,436,383,4,46,3,872
BN43,BN43,Total,9969,7375,3732,3643,70,14750,1167,790,377,2334,1258,1140,4,104,10,2516
BN44,BN44,Total,4416,3385,1959,1426,19,6770,382,63,319,764,567,523,8,32,4,1134
BN45,BN45,Total,273,174,73,101,0,348,26,1,25,52,61,56,0,2,3,122
BN5,BN5,Total,3051,2275,1301,974,10,4550,381,40,341,762,350,307,10,27,6,700
BN6,BN6,Total,7274,5659,3133,2526,47,11318,767,67,700,1534,690,618,19,45,8,1380
BN7,BN7,Total,8962,6045,3280,2765,48,12090,1384,1162,222,2768,1335,1201,27,88,19,2670
BN8,BN8,Total,6611,4820,2589,2231,64,9640,700,477,223,1400,878,767,30,59,22,1756
BN9,BN9,Total,5816,3802,1778,2024,40,7604,845,514,331,1690,1068,1001,7,55,5,2136
BR1,BR1,Total,23367,14547,6188,8359,154,29094,4882,1067,3815,9764,3549,3280,23,191,55,7098
BR2,BR2,Total,19002,14278,6797,7481,123,28556,1788,195,1593,3576,2656,2507,15,118,16,5312
BR3,BR3,Total,21093,14956,6805,8151,160,29912,2038,182,1856,4076,3710,3508,19,154,29,7420
BR4,BR4,Total,7214,6323,3137,3186,25,12646,269,15,254,538,522,467,13,32,10,1044
BR5,BR5,Total,18794,12410,5882,6528,232,24820,4511,635,3876,9022,1476,1320,16,123,17,2952
BR6,BR6,Total,19302,16161,8643,7518,105,32322,1429,124,1305,2858,1456,1309,20,101,26,2912
BR7,BR7,Total,7073,5685,2841,2844,20,11370,485,51,434,970,795,746,9,32,8,1590
BR8,BR8,Total,9155,6272,3014,3258,160,12544,1971,350,1621,3942,639,574,13,44,8,1278
BS1,BS1,Total,5530,1182,535,647,95,2364,1319,740,579,2638,2818,2666,25,79,48,5636
BS10,BS10,Total,11747,6302,2914,3388,96,12604,3707,3269,438,7414,1435,1320,9,86,20,2870
BS11,BS11,Total,7428,3837,1766,2071,24,7674,2667,2244,423,5334,792,719,7,57,9,1584
BS13,BS13,Total,12558,6554,3249,3305,72,13108,4702,3955,747,9404,990,865,9,97,19,1980
BS14,BS14,Total,11884,8682,4320,4362,63,17364,1884,1278,606,3768,1144,1025,2,107,10,2288
BS15,BS15,Total,20129,14386,6873,7513,129,28772,2465,677,1788,4930,2890,2623,15,224,28,5780
BS16,BS16,Total,30790,21018,9656,11362,160,42036,4211,1933,2278,8422,5004,4407,146,338,113,10008
BS2,BS2,Total,7194,1791,758,1033,180,3582,2585,1353,1232,5170,2482,2315,47,93,27,4964
BS20,BS20,Total,13080,10197,4850,5347,132,20394,1181,374,807,2362,1448,1328,6,101,13,2896
BS21,BS21,Total,10217,7803,3992,3811,59,15606,747,227,520,1494,1513,1372,14,112,15,3026
BS22,BS22,Total,16238,12269,5734,6535,114,24538,1116,393,723,2232,2570,2332,9,214,15,5140
BS23,BS23,Total,16243,8372,4303,4069,68,16744,2635,1152,1483,5270,4948,4681,22,220,25,9896
BS24,BS24,Total,7835,5722,2654,3068,42,11444,648,288,360,1296,1358,1224,9,114,11,2716
BS25,BS25,Total,2612,2177,1358,819,10,4354,156,62,94,312,243,210,9,18,6,486
BS26,BS26,Total,2070,1639,848,791,7,3278,142,90,52,284,252,227,2,19,4,504
BS27,BS27,Total,2975,2323,1278,1045,23,4646,238,144,94,476,349,304,7,34,4,698
BS28,BS28,Total,1330,1125,678,447,6,2250,66,41,25,132,109,93,1,14,1,218
BS29,BS29,Total,1265,1033,590,443,3,2066,93,52,41,186,121,105,2,11,3,242
BS3,BS3,Total,16769,9174,3739,5435,167,18348,2785,1947,838,5570,4448,4194,11,213,30,8896
BS30,BS30,Total,12521,9849,4492,5357,35,19698,1302,239,1063,2604,1216,1073,9,112,22,2432
BS31,BS31,Total,8604,6486,3619,2867,39,12972,1246,345,901,2492,721,627,8,74,12,1442
BS32,BS32,Total,9996,6891,2086,4805,44,13782,471,35,436,942,2527,2417,9,89,12,5054
BS34,BS34,Total,12563,8691,3791,4900,64,17382,1893,406,1487,3786,1767,1640,12,102,13,3534
BS35,BS35,Total,9097,7251,3918,3333,28,14502,783,152,631,1566,921,799,12,90,20,1842
BS36,BS36,Total,6238,5214,2894,2320,19,10428,543,127,416,1086,393,342,4,43,4,786
BS37,BS37,Total,15437,12211,5487,6724,82,24422,1040,201,839,2080,1955,1747,12,182,14,3910
BS39,BS39,Total,6125,4902,2498,2404,23,9804,551,144,407,1102,567,505,12,39,11,1134
BS4,BS4,Total,20122,12073,5017,7056,181,24146,4269,3365,904,8538,3356,3099,11,219,27,6712
BS40,BS40,Total,5267,4153,2351,1802,29,8306,352,120,232,704,647,536,43,61,7,1294
BS41,BS41,Total,2487,1962,945,1017,38,3924,213,67,146,426,257,205,18,17,17,514
BS48,BS48,Total,9841,8197,4494,3703,26,16394,671,260,411,1342,851,761,9,71,10,1702
