Row Labels,Number of schools,L1 and L2 (number of places delivered 2020/21),L3 (number of places delivered 2020/21 ), Plus (number of places delivered 2020/21),Average L1 and L2 places per school
WF12,22,97,0,40,4.4
WF13,17,42,0,21,2.5
WF14,9,136,0,0,15.1
WF15,12,102,0,89,8.5
WF16,7,28,0,67,4
WF17,34,200,0,141,5.9
WF2,18,77,0,0,4.3
WF3,15,255,0,6,17
WF4,24,183,0,45,7.6
WF5,10,28,0,0,2.8
WF6,9,30,0,0,3.3
WF7,14,102,0,0,7.3
WF8,15,,,,0
WF9,15,28,0,0,1.9
WN1,10,20,0,0,2
WN2,33,22,0,0,0.7
WN3,14,40,0,0,2.9
WN4,18,10,0,0,0.6
WN5,16,,,,0
WN6,21,70,0,0,3.3
WN7,22,26,0,0,1.2
WN8,37,121,0,0,3.3
WR1,4,0,0,0,0
WR10,15,27,0,0,1.8
WR11,28,66,0,0,2.4
WR12,6,27,0,0,4.5
WR13,9,0,0,0,0
WR14,19,53,0,0,2.8
WR15,4,18,0,0,4.5
WR2,14,120,0,0,8.6
WR3,12,98,0,0,8.2
WR4,7,0,0,0,0
WR5,17,53,0,0,3.1
WR6,10,26,0,0,2.6
WR7,5,0,0,0,0
WR8,7,63,0,0,9
WR9,16,25,0,0,1.6
WS1,15,,,,0
WS10,24,49,0,30,2
WS11,25,421,24,63,16.8
WS12,19,584,24,24,30.7
WS13,24,501,60,43,20.9
WS14,11,86,0,0,7.8
WS15,23,204,24,24,8.9
WS2,19,,,,0
WS3,23,12,0,30,0.5
WS4,8,20,0,0,2.5
WS5,7,,,,0
WS6,7,,,,0
WS7,14,264,0,0,18.9
WS8,7,,,,0
WS9,14,86,0,0,6.1
WV1,7,,,,0
WV10,22,,,,0
WV11,14,,,,0
WV12,10,,,,0
WV13,5,,,,0
WV14,22,0,0,0,0
WV15,2,,,,0
WV16,11,27,0,0,2.5
WV2,5,,,,0
WV3,11,,,,0
WV4,17,,,,0
WV5,9,57,0,0,6.3
WV6,23,120,60,60,5.2
WV7,3,,,,0
WV8,10,80,18,18,8
WV9,2,,,,0
YO10,11,49,0,0,4.5
YO11,13,0,0,0,0
YO12,17,85,14,0,5
YO13,5,,,,0
YO14,4,0,0,0,0
YO15,4,,,,0
YO16,10,0,0,0,0
YO17,18,10,0,0,0.6
YO18,8,58,0,0,7.3
YO19,3,,,,0
YO21,10,0,0,0,0
YO22,7,,,,0
YO23,12,142,56,0,11.8
YO24,9,0,0,0,0
YO25,18,0,0,0,0
YO26,15,76,0,0,5.1
YO30,11,71,7,0,6.5
YO31,11,33,16,0,3
YO32,9,42,0,36,4.7
YO41,6,,,,0
YO42,7,9,0,0,1.3
YO43,5,0,0,0,0
YO51,7,27,0,0,3.9
YO60,5,,,,0
YO61,13,70,0,0,5.4
YO62,14,0,0,0,0
YO7,17,14,0,0,0.8
YO8,26,48,0,0,1.8
