Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
CV5,,228,4,0,283,9,13,0,38,0,88
CV6,,155,0,11,303,0,30,0,3,0,23
CV7,,521,7,98,430,162,12,0,25,160,36
CV8,,93,0,0,0,16,10,0,0,0,0
CV9,,38,1,1,16,14,10,0,0,0,0
CV10,YES,68,1,0,10,0,18,0,6,0,0
CV11,,134,2,10,0,2,10,0,10,144,0
CV12,YES,16,1,0,0,0,12,0,8,0,0
CV13,,12,0,0,11,0,1,0,0,0,0
CV21,,129,2,0,24,0,11,0,45,0,43
CV22,,137,1,0,0,0,9,0,33,0,267
CV23,YES,44,1,0,36,0,8,0,13,0,0
CV31,,118,1,0,149,0,14,0,21,120,101
CV32,,68,1,0,54,0,5,0,0,0,0
CV33,,160,0,0,0,0,6,0,50,0,56
CV34,,44,0,8,41,0,8,0,38,0,39
CV35,,189,0,0,123,0,21,0,10,0,18
CV36,,64,0,0,95,0,14,0,14,0,115
CV37,,94,6,0,123,0,9,0,22,1,61
CV47,,45,3,0,12,0,13,0,54,1,197
CW1,,297,0,27,403,0,16,0,0,0,0
CW2,,364,0,4,456,0,15,0,33,0,77
CW3,,68,3,0,102,0,7,0,0,0,0
CW4,,114,1,0,187,0,14,0,36,30,0
CW5,,325,0,0,410,2,22,0,27,0,84
CW6,,90,0,0,72,0,7,0,43,0,74
CW7,,110,0,0,153,0,8,0,25,0,53
CW8,,221,2,0,209,0,19,0,16,2,8
CW9,,110,3,0,196,24,14,0,23,0,50
CW10,YES,119,0,0,135,0,15,0,33,0,0
CW11,,340,0,19,386,0,12,0,33,53,168
CW12,,233,5,74,255,69,25,17,44,0,149
DA1,,79,0,0,24,0,6,0,0,0,0
DA2,,308,2,0,184,0,18,0,28,20,0
DA3,,46,2,0,126,0,7,0,29,0,122
DA4,,12,1,0,48,0,14,0,7,0,14
DA5,,0,2,0,0,0,5,0,0,0,0
DA6,,0,1,0,0,0,6,0,0,0,0
DA7,,0,1,0,0,0,9,0,0,0,0
DA8,,0,1,0,0,0,11,0,0,0,0
DA9,,0,0,0,0,0,2,0,0,0,0
