Node,"Residential Homes Average Weekly Rate","Supported Living Average Weekly Rate","Supported Living Average Hourly Rate","Supported Living Average Hourly/Weekly Rate","Day Services Average Weekly Rate","Day Services Average Day Rate","Day Services Average Day/Weekly Rate","Domiciliary Care Average Hourly Rate","Residential Homes Uplift 2018/19","Residential Homes Uplift 2019/20","Residential Homes Uplift 2020/21","Residential Homes Uplift 2021/22","Residential Homes Uplift 2022/23","Supported Living Uplift 2018/19","Supported Living Uplift 2019/20","Supported Living Uplift 2020/21","Supported Living Uplift 2021/22","Supported Living Uplift 2022/23","Day Services Uplift 2018/19","Day Services Uplift 2019/20","Day Services Uplift 2020/21","Day Services Uplift 2021/22","Day Services Uplift 2022/23","Domiciliary Care Uplift 2018/19","Domiciliary Care Uplift 2019/20","Domiciliary Care Uplift 2020/21","Domiciliary Care Uplift 2021/22","Domiciliary Care Uplift 2022/23","London Living Wage","NI, tax, pensions, leave and sickness (LLW)","Training and management","Apportioned core costs (finance, HR, recruitment, leadership and head office costs)","National Living Wage","NI, tax, pensions, leave and sickness (NLW)","Real Living Wage 2023/24","NI, tax, pensions, leave and sickness (RLW)","NHS Band 3 inc allowances hourly rate","NI, tax, pensions, leave and sickness (Band 3 incl allowances)",English/Welsh,England/Wales,"RH Av Country","SL Weekly Av Country","SL Hourly Av Country","DS Weekly Av Country","DS Day Av Country","DC Av Country"
Bexley,1752.17,1227.54,7.3,1227.54,,47.03,47.03,19.14,3,2.5,3.9,1,3,3,2.5,3.9,1,3,3,2.5,3.9,1,3,16.2,4.78,5.25,1,3,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Brent,1493,1205,,1205,293,,293,19,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",0,0,2,2,4,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",0,0,7,2.6,2.6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Croydon,,1291.85,,1291.85,156.7,,156.7,16.63,1,2,1,2,5.3,"Individual basis","Individual basis","Individual basis",2,3,"Individual basis","Individual basis","Individual basis",0,6,1,2,1,2,3,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Ealing,1233.37,917.93,,917.93,290.26,,290.26,18.31,2.5,3,3,5,6,2.5,3,3,5,6,N/a,N/a,N/a,N/a,N/a,2.5,3,3,4,5,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Enfield,1210.65,1197.22,,1197.22,258.93,,258.93,18.07,0.88,0.88,0,1.7,2.55,2.21,1.3,4.13,5.96,5.97,2.21,1.3,4.13,1.7,5.97,2.21,1.3,4.13,5.96,5.97,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Greenwich,1643.43,1514.86,,1514.86,190.45,,190.45,22.1,3,0,10,1,3,3,0,10,1,3,3,0,10,1,3,5,3,2,1,2,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Hackney,934,1185,,1185,,,,18.63,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,"London Living Wage","London Living Wage","London Living Wage","London Living Wage","London Living Wage",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Hammersmith and Fulham",7080.39,,,,460.64,,460.64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Harrow,,,16.6,16.6,,,,16.6,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Individual basis",11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Havering,1682.98,1348.52,,1348.52,511.38,,511.38,19.41,"Information not held",4,4.5,4,6,"Information not held",4,2,2,5,"Individual basis","Individual basis","Individual basis","Individual basis","Individual basis","Information not held",3,4,2,6,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
