Row Labels,Number of schools,% schools booked that booked Bikeability,Sum of Levels 1 and 2 places attended (2020),Sum of Level 3 Places Attended (2020),Sum of Plus Places Attended (2020),No Delivery due to Covid
N20,10,0,0,0,0,
NR21,10,0,0,0,0,
NR3,10,0,0,0,0,
PO33,10,0,0,0,0,
RH5,10,0,0,0,0,
S12,10,0,0,0,0,
SE12,10,0,0,0,0,
SE14,10,0,0,0,0,
SE26,10,0,0,0,0,
SW1P,10,0,0,0,0,
SW3,10,0,0,0,0,
SY13,10,0,0,0,0,
TF7,10,0,0,0,0,
TN12,10,0,0,0,0,
TS12,10,0,0,0,0,
TW1,10,0,0,0,0,
TW3,10,0,0,0,0,
TW5,10,0,0,0,0,
TW9,10,0,0,0,0,
W13,10,0,0,0,0,
B27,9,0,0,0,0,
BH8,9,0,0,0,0,
BN43,9,0,0,0,0,
CH48,9,0,0,0,0,
CR5,9,0,0,0,0,
DA14,9,0,0,0,0,
DA7,9,0,0,0,0,
DN2,9,0,0,0,0,
EN2,9,0,0,0,0,
HR8,9,0,0,0,0,
L17,9,0,0,0,0,
L18,9,0,0,0,0,
L19,9,0,0,0,0,
L32,9,0,0,0,0,
M43,9,0,0,0,0,
N21,9,0,0,0,0,
N5,9,0,0,0,0,
SE10,9,0,0,0,0,
SE4,9,0,0,0,0,
SE7,9,0,0,0,0,
SM3,9,0,0,0,0,
SN7,9,0,0,0,0,
SW7,9,0,0,0,0,
SW8,9,0,0,0,0,
TA24,9,0,0,0,0,
TS20,9,0,0,0,0,
TS4,9,0,0,0,0,
WD19,9,0,0,0,0,
WS8,9,0,0,0,0,
BR4,8,0,0,0,0,
BS8,8,0,0,0,0,
DA17,8,0,0,0,0,
HA7,8,0,0,0,0,
HP19,8,0,0,0,0,
N2,8,0,0,0,0,
N6,8,0,0,0,0,
NE47,8,0,0,0,0,
NR27,8,0,0,0,0,
PE23,8,0,0,0,0,
SE13,8,0,0,0,0,
SE2,8,0,0,0,0,
SE24,8,0,0,0,0,
SG7,8,0,0,0,0,
TA18,8,0,0,0,0,
TA9,8,0,0,0,0,
TS18,8,0,0,0,0,
TS9,8,0,0,0,0,
TW14,8,0,0,0,0,
TW4,8,0,0,0,0,
WF11,8,0,0,0,0,
B16,7,0,0,0,0,
B35,7,0,0,0,0,
CT21,7,0,0,0,0,
DE1,7,0,0,0,0,
DT10,7,0,0,0,0,
E18,7,0,0,0,0,
GL50,7,0,0,0,0,
IG2,7,0,0,0,0,
IP6,7,0,0,0,0,
KT9,7,0,0,0,0,
MK12,7,0,0,0,0,
MK13,7,0,0,0,0,
N13,7,0,0,0,0,
N18,7,0,0,0,0,
RM7,7,0,0,0,0,
SP8,7,0,0,0,0,
SW1V,7,0,0,0,0,
TR15,7,0,0,0,0,
TS26,7,0,0,0,0,
TW11,7,0,0,0,0,
TW8,7,0,0,0,0,
W8,7,0,0,0,0,
WS5,7,0,0,0,0,
WS6,7,0,0,0,0,
WV1,7,0,0,0,0,
YO13,7,0,0,0,0,
YO19,7,0,0,0,0,
YO22,7,0,0,0,0,
YO41,7,0,0,0,0,
DA6,6,0,0,0,0,
DN8,6,0,0,0,0,
HU11,6,0,0,0,0,
IP26,6,0,0,0,0,
KT1,6,0,0,0,0,
L33,6,0,0,0,0,
LN13,6,0,0,0,0,
M5,6,0,0,0,0,
MK4,6,0,0,0,0,
MK7,6,0,0,0,0,
NE11,6,0,0,0,0,
NE20,6,0,0,0,0,
NE48,6,0,0,0,0,
OX44,6,0,0,0,0,
PE37,6,0,0,0,0,
PO38,6,0,0,0,0,
RH14,6,0,0,0,0,
RM2,6,0,0,0,0,
S3,6,0,0,0,0,
S4,6,0,0,0,0,
SE20,6,0,0,0,0,
SE27,6,0,0,0,0,
SW10,6,0,0,0,0,
SW13,6,0,0,0,0,
SW14,6,0,0,0,0,
TN10,6,0,0,0,0,
TN30,6,0,0,0,0,
TS13,6,0,0,0,0,
TW17,6,0,0,0,0,
W1H,6,0,0,0,0,
B80,5,0,0,0,0,
DA5,5,0,0,0,0,
HP20,5,0,0,0,0,
HR7,5,0,0,0,0,
IG5,5,0,0,0,0,
L1,5,0,0,0,0,
L10,5,0,0,0,0,
L24,5,0,0,0,0,
M31,5,0,0,0,0,
NR28,5,0,0,0,0,
PE20,5,0,0,0,0,
PO31,5,0,0,0,0,
SK1,5,0,0,0,0,
SW1W,5,0,0,0,0,
SW1X,5,0,0,0,0,
SW5,5,0,0,0,0,
SY14,5,0,0,0,0,
TS1,5,0,0,0,0,
TS22,5,0,0,0,0,
UB9,5,0,0,0,0,
WV13,5,0,0,0,0,
WV2,5,0,0,0,0,
YO60,5,0,0,0,0,
BH31,4,0,0,0,0,
BH7,4,0,0,0,0,
BN44,4,0,0,0,0,
BS27,4,0,0,0,0,
BS49,4,0,0,0,0,
CH60,4,0,0,0,0,
CR6,4,0,0,0,0,
CT7,4,0,0,0,0,
DA10,4,0,0,0,0,
DA18,4,0,0,0,0,
DL11,4,0,0,0,0,
DN1,4,0,0,0,0,
DY7,4,0,0,0,0,
E1W,4,0,0,0,0,
EC1V,4,0,0,0,0,
GU3,4,0,0,0,0,
GU51,4,0,0,0,0,
HU13,4,0,0,0,0,
IG4,4,0,0,0,0,
KT5,4,0,0,0,0,
L28,4,0,0,0,0,
LN12,4,0,0,0,0,
OX49,4,0,0,0,0,
PO36,4,0,0,0,0,
SO43,4,0,0,0,0,
TN18,4,0,0,0,0,
TS28,4,0,0,0,0,
YO15,4,0,0,0,0,
B1,3,0,0,0,0,
B96,3,0,0,0,0,
BA7,3,0,0,0,0,
BA9,3,0,0,0,0,
BH1,3,0,0,0,0,
BH2,3,0,0,0,0,
BS41,3,0,0,0,0,
CA9,3,0,0,0,0,
DA4,3,0,0,0,0,
DN31,3,0,0,0,0,
EC1R,3,0,0,0,0,
GU19,3,0,0,0,0,
HR3,3,0,0,0,0,
IP10,3,0,0,0,0,
IP16,3,0,0,0,0,
IP18,3,0,0,0,0,
L22,3,0,0,0,0,
L27,3,0,0,0,0,
L3,3,0,0,0,0,
LE1,3,0,0,0,0,
M3,3,0,0,0,0,
MK11,3,0,0,0,0,
MK46,3,0,0,0,0,
N1C,3,0,0,0,0,
NE43,3,0,0,0,0,
NR26,3,0,0,0,0,
OX25,3,0,0,0,0,
PE36,3,0,0,0,0,
PL22,3,0,0,0,0,
PL23,3,0,0,0,0,
PO32,3,0,0,0,0,
RH18,3,0,0,0,0,
RM4,3,0,0,0,0,
RM5,3,0,0,0,0,
SG3,3,0,0,0,0,
ST21,3,0,0,0,0,
TN28,3,0,0,0,0,
TS29,3,0,0,0,0,
TW19,3,0,0,0,0,
W1B,3,0,0,0,0,
W1U,3,0,0,0,0,
WC1N,3,0,0,0,0,
WV15,3,0,0,0,0,
WV7,3,0,0,0,0,
B48,2,0,0,0,0,
B5,2,0,0,0,0,
BN26,2,0,0,0,0,
BN42,2,0,0,0,0,
