Node,"Number Of Schools","L1 And L2 (Number Of Places Delivered 2020/21)","L3 (Number Of Places Delivered 2020/21 )","Plus (Number Of Places Delivered 2020/21)","Average L1 And L2 Places Per School"
WF8,,0,15,,
WF9,15,28,0,0,1.9
WF10,0,2.6,18,47,0
WF11,6,,,,0
WF12,40,4.4,22,97,0
WF13,17,42,0,21,2.5
WF14,0,15.1,9,136,0
WF15,12,102,0,89,8.5
WF16,67,4,7,28,0
WF17,34,200,0,141,5.9
WN1,0,2,10,20,0
WN2,33,22,0,0,0.7
WN3,0,2.9,14,40,0
WN4,18,10,0,0,0.6
WN5,,0,16,,
WN6,21,70,0,0,3.3
WN7,0,1.2,22,26,0
WN8,37,121,0,0,3.3
WR1,0,0,4,0,0
WR2,14,120,0,0,8.6
WR3,0,8.2,12,98,0
WR4,7,0,0,0,0
WR5,0,3.1,17,53,0
WR6,10,26,0,0,2.6
WR7,0,0,5,0,0
WR8,7,63,0,0,9
WR9,0,1.6,16,25,0
WR10,15,27,0,0,1.8
WR11,0,2.4,28,66,0
WR12,6,27,0,0,4.5
WR13,0,0,9,0,0
WR14,19,53,0,0,2.8
WR15,0,4.5,4,18,0
WS1,15,,,,0
WS2,,0,19,,
WS3,23,12,0,30,0.5
WS4,0,2.5,8,20,0
WS5,7,,,,0
WS6,,0,7,,
WS7,14,264,0,0,18.9
WS8,,0,7,,
WS9,14,86,0,0,6.1
WS10,30,2,24,49,0
WS11,25,421,24,63,16.8
WS12,24,30.7,19,584,24
WS13,24,501,60,43,20.9
WS14,0,7.8,11,86,0
WS15,23,204,24,24,8.9
WV1,,0,7,,
WV2,5,,,,0
WV3,,0,11,,
WV4,17,,,,0
WV5,0,6.3,9,57,0
WV6,23,120,60,60,5.2
WV7,,0,3,,
WV8,10,80,18,18,8
WV9,,0,2,,
WV10,22,,,,0
WV11,,0,14,,
WV12,10,,,,0
WV13,,0,5,,
WV14,22,0,0,0,0
WV15,,0,2,,
WV16,11,27,0,0,2.5
YO7,0,0.8,17,14,0
YO8,26,48,0,0,1.8
YO10,0,4.5,11,49,0
YO11,13,0,0,0,0
YO12,0,5,17,85,14
YO13,5,,,,0
YO14,0,0,4,0,0
YO15,4,,,,0
YO16,0,0,10,0,0
YO17,18,10,0,0,0.6
YO18,0,7.3,8,58,0
YO19,3,,,,0
YO21,0,0,10,0,0
YO22,7,,,,0
YO23,0,11.8,12,142,56
YO24,9,0,0,0,0
YO25,0,0,18,0,0
YO26,15,76,0,0,5.1
YO30,0,6.5,11,71,7
YO31,11,33,16,0,3
YO32,36,4.7,9,42,0
YO41,6,,,,0
YO42,0,1.3,7,9,0
YO43,5,0,0,0,0
YO51,0,3.9,7,27,0
YO60,5,,,,0
YO61,0,5.4,13,70,0
YO62,14,0,0,0,0
