Row Labels,Number of instructors,Sum of Number of schools,No delivery due to covid,Sum of Levels 1 and 2 places attended (2020/21),Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020/21),Sum of % schools that booked Bikeability2,Sum of % schools that booked Bikeability,Sum of Level 3 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19)
BL2,4,20,,23,319,0,0,20,20,8,0,233
BL3,2,38,,142,325,2,60,26,26,6,0,307
BL4,1,21,,110,265,4,66,33,33,0,22,288
BL5,2,11,,0,287,0,8,36,36,7,19,222
BL6,2,14,,89,298,0,0,29,29,6,0,151
BL7,1,9,,52,179,12,39,22,22,0,0,196
BL8,2,20,,151,309,0,0,45,45,0,0,120
BL9,1,28,,71,199,0,0,39,39,0,0,174
BN1,7,29,,100,434,0,28,28,28,0,0,418
BN10,1,4,,86,119,0,0,50,50,3,0,82
BN11,3,10,,60,68,0,0,10,10,0,0,64
BN12,1,8,,115,22,0,0,38,38,0,0,84
BN13,2,8,,3,0,0,0,13,13,0,0,0
BN14,1,12,,138,56,0,0,25,25,0,0,88
BN15,2,9,,60,0,0,0,11,11,0,22,0
BN16,0,8,,60,42,0,0,13,13,0,0,0
BN17,2,7,,122,46,0,0,29,29,0,0,126
BN18,1,9,,68,0,0,0,33,33,0,0,0
BN2,6,27,,0,430,0,30,30,30,0,0,158
BN20,2,10,,0,134,0,144,10,10,2,10,0
BN21,2,4,,46,47,0,0,25,25,0,0,0
BN22,1,13,,29,116,0,16,8,8,0,0,142
BN23,1,9,,26,134,0,0,44,44,1,0,56
BN24,0,3,,12,74,0,0,67,67,6,11,78
BN25,3,8,Yes,0,90,0,0,25,25,7,10,56
BN26,0,2,,0,21,0,0,0,0,0,0,9
BN27,2,11,,48,118,0,0,36,36,0,0,133
BN3,4,21,Yes,0,292,0,0,19,19,0,0,622
BN41,1,9,,65,217,0,48,56,56,24,0,157
BN42,0,2,,0,49,0,0,0,0,0,0,38
BN43,2,9,,0,34,0,0,0,0,0,0,51
BN44,3,4,,0,0,0,0,0,0,0,0,0
BN5,0,1,,31,0,0,0,100,100,0,0,0
BN6,0,8,,53,110,0,0,25,25,0,0,153
BN7,2,11,,50,221,0,0,73,73,9,7,289
BN8,1,12,,151,185,0,0,67,67,0,0,141
BN9,1,6,,48,29,0,12,33,33,7,4,67
BR1,7,23,,0,0,0,0,0,0,0,0,0
BR2,4,18,,0,0,0,0,0,0,0,0,0
BR3,6,19,,0,0,0,0,0,0,0,0,0
BR4,0,8,,0,0,0,0,0,0,0,0,0
BR5,2,16,,0,0,0,0,0,0,0,0,0
BR6,4,19,,0,0,0,0,0,0,0,0,0
BR7,0,11,,0,0,0,0,0,0,0,0,0
BR8,0,11,,36,73,0,0,18,18,0,0,63
BS1,0,5,,12,12,0,0,20,20,0,0,0
BS10,1,11,Yes,0,66,0,0,9,9,0,0,9
BS11,1,11,,78,83,0,0,36,36,0,23,173
BS13,1,13,,86,104,0,0,23,23,0,0,65
BS14,1,11,,0,85,0,0,0,0,0,0,87
BS15,2,16,,0,383,54,0,25,25,143,159,333
BS16,3,34,,86,667,0,25,29,29,15,0,549
BS2,2,9,,12,24,0,0,11,11,0,0,20
BS20,0,10,,214,391,12,0,50,50,0,70,240
BS21,2,7,,124,98,0,0,29,29,0,7,41
BS22,1,13,,181,83,36,0,46,46,0,101,89
BS23,1,11,,76,40,0,0,36,36,24,21,77
BS24,1,11,,125,35,0,0,36,36,0,0,108
BS25,0,5,,0,43,42,0,20,20,0,9,79
BS26,0,2,,0,0,0,0,0,0,0,0,0
BS27,1,4,,0,0,0,0,0,0,0,0,0
BS28,0,2,,3,0,0,0,50,50,0,0,0
BS29,0,1,,0,19,0,0,0,0,0,0,0
BS3,7,12,Yes,0,151,0,0,8,8,0,0,206
BS30,0,13,,54,248,73,25,54,54,0,0,365
BS31,0,11,,24,29,0,0,9,9,0,0,0
BS32,1,12,,114,144,0,25,58,58,0,0,148
BS34,0,12,,48,162,0,0,25,25,44,33,329
BS35,5,16,,110,206,0,25,44,44,0,16,326
BS36,1,6,,31,288,0,0,83,83,0,0,306
BS37,1,20,,33,306,41,0,20,20,0,0,170
BS39,0,9,,49,88,0,0,11,11,0,0,133
BS4,1,19,,38,254,0,0,16,16,0,0,171
BS40,0,10,,65,95,0,0,20,20,0,0,87
BS41,1,3,,0,106,0,0,0,0,0,0,108
BS48,2,14,,88,83,24,10,29,29,63,88,87
BS49,0,4,,0,25,0,0,0,0,0,0,0
BS5,2,17,Yes,0,49,0,0,6,6,0,0,102
BS6,1,13,,125,93,0,0,31,31,12,0,213
BS7,2,15,,42,427,0,0,27,27,0,0,368
BS8,0,8,,0,164,0,0,0,0,0,0,56
BS9,1,11,,77,353,0,0,55,55,0,11,220
CA1,0,10,,47,185,0,0,40,40,0,5,134
CA10,3,15,,80,267,0,0,47,47,0,0,170
CA11,10,14,,60,292,0,0,57,57,34,43,301
CA12,1,6,,108,91,0,0,67,67,30,15,50
CA13,1,9,,104,197,0,0,67,67,0,0,251
CA14,0,21,,95,378,0,0,33,33,24,28,316
CA15,1,13,,97,129,0,0,38,38,18,22,142
CA16,0,6,,41,107,0,0,83,83,0,0,110
CA17,2,3,,6,50,17,0,100,100,6,21,53
CA19,0,1,,9,0,0,0,100,100,0,0,6
CA2,0,15,,77,364,0,0,33,33,0,4,456
CA20,0,2,,23,92,0,0,50,50,0,0,48
CA21,0,1,,6,12,0,0,100,100,0,0,8
CA22,0,5,,34,101,0,0,60,60,16,16,74
CA23,0,1,,0,0,0,0,0,0,0,0,11
CA24,0,1,,0,6,0,0,0,0,0,0,0
CA25,0,3,,19,44,0,0,33,33,0,0,39
CA26,0,5,,9,0,0,0,20,20,0,0,26
CA27,0,2,Yes,0,21,0,0,50,50,0,0,16
CA28,0,17,,42,210,0,0,29,29,0,0,220
CA3,0,6,,19,274,0,0,33,33,0,0,162
CA4,1,9,,60,135,0,0,44,44,0,0,207
CA5,0,9,,53,75,0,0,56,56,0,0,89
CA6,0,8,,60,102,0,0,50,50,0,0,90
CA7,0,21,,79,222,0,0,33,33,30,43,179
CA8,1,10,,63,132,0,0,40,40,0,0,120
CA9,0,3,,0,27,0,0,0,0,0,0,0
CB1,9,21,,204,514,23,0,52,52,36,137,621
CB10,1,6,,32,106,0,0,100,100,0,0,25
CB11,1,11,,58,205,56,29,82,82,58,0,33
CB2,3,16,,224,123,7,0,44,44,47,41,329
CB21,1,15,,96,225,0,0,33,33,0,0,309
