Row Labels,Count of No delivery due to covid,Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19),Sum of L3 places attended - 2019/20,Sum of Number of schools,Sum of Level 3 Places Attended (2020/21),Sum of % schools that booked Bikeability,Sum of Plus Places Attended (2020/21),Sum of Levels 1 and 2 places attended (2020/21)
WD17,Yes,44,0,36,0,8,0,13,0,0
WD5,Yes,82,0,101,0,5,0,20,0,0
WR1,Yes,39,0,33,0,5,0,20,0,0
WR13,Yes,32,0,47,0,8,0,25,0,0
WR4,Yes,64,0,33,0,8,0,13,0,0
WR7,Yes,35,0,43,0,4,0,75,0,0
WV14,Yes,49,30,223,66,22,0,5,0,0
YO11,Yes,84,0,68,0,13,0,8,0,0
YO14,Yes,64,0,52,0,4,0,25,0,0
YO16,Yes,67,0,33,0,10,0,20,0,0
YO21,Yes,6,0,26,0,14,0,7,0,0
YO24,Yes,53,24,91,59,12,0,8,0,0
YO25,Yes,195,0,242,0,20,0,10,0,0
YO43,Yes,0,0,72,0,6,0,33,0,0
YO62,Yes,39,0,90,0,12,0,17,0,0
 M3,,12,0,0,0,1,0,0,0,0
 NW3,,0,0,0,0,1,0,0,0,0
 RG8,,0,0,0,0,1,0,0,0,0
 SW17,,0,0,0,0,1,0,0,0,0
AL1,,335,0,166,0,22,0,18,0,23
AL10,,106,8,87,10,13,18,15,0,88
AL2,,117,16,112,0,7,0,43,0,28
AL3,,313,16,275,33,18,0,50,0,260
AL4,,123,0,81,0,13,0,23,0,156
AL5,,404,0,348,0,21,0,33,0,222
AL6,,96,0,123,0,6,19,33,0,45
AL7,,98,0,161,23,13,0,15,0,35
AL8,,153,0,110,0,9,0,33,0,92
B1,,129,0,33,0,3,0,0,0,0
B10,,295,0,240,0,14,0,0,0,0
B12,,352,0,75,0,17,0,12,32,98
B14,,358,0,447,0,20,16,25,12,103
B16,,24,0,46,0,7,0,0,0,0
B18,,0,0,0,0,10,0,0,0,0
B19,,152,0,0,0,16,0,0,0,0
B24,,98,0,70,0,10,0,30,23,96
B26,,148,0,24,0,12,0,0,0,0
B27,,96,0,77,31,9,0,0,0,0
B28,,130,0,94,0,10,0,30,4,29
B29,,111,0,170,0,20,8,20,42,333
B30,,195,0,121,0,13,0,15,0,146
B31,,268,0,230,0,21,0,14,0,88
B35,,0,0,36,0,7,0,0,0,0
B36,,168,0,248,0,19,0,16,0,28
B37,,576,0,623,0,14,0,43,0,180
B4,,0,0,0,0,1,0,0,0,0
B43,,154,0,129,0,10,0,0,0,0
B45,,305,0,247,0,17,0,29,10,171
B46,,53,0,0,0,7,0,14,0,93
B48,,0,0,0,0,2,0,0,0,0
B49,,38,0,67,0,10,0,30,0,18
B5,,0,0,0,0,2,0,0,0,0
B50,,36,0,35,0,1,0,100,0,30
B6,,40,0,0,0,15,18,13,12,95
B60,,144,0,156,0,12,0,25,0,26
B65,,57,0,44,0,8,0,13,0,24
B66,,44,0,29,0,10,0,10,0,25
B67,,68,0,92,0,9,0,22,0,42
B68,,225,0,93,0,15,0,20,0,20
B69,,209,0,204,0,12,0,25,0,57
B7,,245,0,172,0,10,0,20,0,12
B70,,68,0,39,0,13,0,8,0,30
B71,,81,0,60,0,12,0,17,0,33
B72,,108,0,83,0,5,0,40,0,28
B73,,89,24,125,0,8,0,25,34,30
B74,,164,54,80,36,10,0,20,0,140
B76,,84,0,0,0,8,0,25,23,19
B77,,168,0,159,24,24,19,17,31,112
B78,,35,0,58,0,10,0,0,0,0
B79,,120,0,129,0,16,0,19,54,266
B80,,25,0,0,0,5,0,0,0,0
B90,,904,0,797,0,19,0,42,0,190
B92,,389,0,361,0,14,0,43,0,68
B93,,205,38,354,0,7,0,43,0,374
B94,,53,0,80,0,4,0,75,0,14
B95,,21,16,58,0,6,0,67,0,61
B96,,45,0,33,0,3,0,0,0,0
B97,,87,0,113,0,11,0,0,0,0
BA1,,40,0,19,0,17,0,12,0,29
BA10,,0,0,0,0,4,0,25,0,6
BA11,,36,0,36,0,20,0,10,0,24
BA12,,124,0,69,0,17,0,35,0,68
BA14,,119,0,221,0,24,0,46,0,104
BA15,,10,0,12,0,5,0,40,0,12
BA16,,72,0,45,0,7,0,43,0,43
BA2,,37,0,39,0,35,0,6,0,24
BA20,,42,0,60,0,3,0,100,0,72
BA21,,36,0,31,0,15,0,7,0,42
BA22,,106,0,23,0,11,0,18,0,48
BA3,,166,0,141,0,24,0,25,0,150
BA4,,72,0,59,0,10,0,30,0,42
BA5,,80,0,63,0,12,0,58,0,117
BA6,,18,0,19,0,9,0,33,0,64
BA7,,22,0,35,0,3,0,0,0,0
BA8,,43,0,24,0,4,0,50,0,25
