Node,"Conservative Prediction",Lab_pred,Lib_pred,SNP_pred,Plaid_pred,Green_pred,RefUK_pred,Other_pred,Winner_pred,Con_2019,Lab_2019,Lib_2019,SNP_2019,Plaid_2019,Green_2019,Brexit_2019,Other_2019,Winner_2019
Kensington,25.6,39.6,17.5,0,0,7.7,6.8,3.1,Lab,38.3,38,21.3,0,0,1.2,0.9,0.3,Con
"Rochester and Strood",36.7,33.5,10.6,0,0,6,8.7,4.6,Con,60,27.1,7.2,0,0,2.5,0,3.2,Con
Wrexham,25.3,45.2,7.4,0,7,5.5,9.4,0.7,Lab,45.3,39,4.3,0,6.4,1.3,3.6,0,Con
Rotherham,23.7,42.8,10.6,0,0,5.7,12.2,5.1,Lab,32.6,41.3,5.9,0,0,0,17.2,3,Lab
"New Forest West",41,24.6,15.6,0,0,8.1,6.8,4,Con,63.8,13.1,15.3,0,0,7.7,0,0,Con
"Worthing West",36.3,34.6,12.6,0,0,6.6,6.2,3.8,Con,55.8,28.6,11,0,0,3.7,0,0.9,Con
Bedford,27.4,43,13.4,0,0,8,5.3,3,Lab,43,43.3,9.7,0,0,2,1.9,0,Lab
Wigan,19.8,49.7,8,0,0,5.9,12.3,4.6,Lab,31.8,46.7,5.4,0,0,2.9,13.2,0,Lab
"North East Bedfordshire",36.4,30.3,14,0,0,7.8,5.5,6.2,Con,59.1,21.8,12.3,0,0,2.9,0,3.9,Con
Tatton,33.2,34.7,15.3,0,0,6.5,7.9,2.7,Lab,57.7,22.2,15.7,0,0,4.3,0,0,Con
"Edinburgh East",11.8,27.1,6.2,46,0,4.8,2.1,2.6,SNP,13.7,26.7,6.9,48.4,0,4.3,0,0,SNP
"Reading East",24,47.1,11.2,0,0,8.4,6.2,3.4,Lab,37.9,48.5,9,0,0,2.8,1.5,0.4,Lab
"Great Yarmouth",40.5,31.1,8.1,0,0,7.3,7.3,6,Con,65.8,25.1,3.8,0,0,2.4,0,2.8,Con
Erewash,31.5,40.5,11.7,0,0,6.6,7.6,2.3,Lab,56.5,34.7,5.1,0,0,2.3,0,1.4,Con
"Newcastle upon Tyne East",15.5,60.3,13.3,0,0,4.9,3.5,2.7,Lab,24.4,60.1,10.5,0,0,5.1,0,0,Lab
Eltham,26.8,42.1,10.3,0,0,8.5,9.3,3.2,Lab,39.7,47,6.7,0,0,3,3.5,0,Lab
"South Shields",17.3,52.8,10.5,0,0,4.1,8.4,7.2,Lab,20.3,45.6,4,0,0,3.4,17,9.7,Lab
"South Derbyshire",35.1,34.3,13.4,0,0,7.8,7.7,1.9,Con,62.8,26.5,7.4,0,0,3.3,0,0,Con
"East Renfrewshire",28,15.3,8.5,42,0,2,2.6,2.1,SNP,35.1,12.4,7.5,44.9,0,0,0,0,SNP
"North Wiltshire",35.6,22.7,28.2,0,0,6.4,5.3,2,Con,59.1,10.4,26.9,0,0,3.5,0,0,Con
"Cardiff South and Penarth",16.4,53.6,9.8,0,6,6.7,7.7,0.8,Lab,29,54.1,5.9,0,4.7,2.3,4,0,Lab
