Row Labels,Number of schools,Sum of Levels 1 and 2 places attended (2020),Sum of Level 3 Places Attended (2020),Sum of Plus Places Attended (2020),No Delivery due to Covid
MK40,13,115,0,0,
MK41,18,65,0,0,
MK42,25,91,0,0,
MK43,20,61,0,5,
MK44,14,162,0,15,
MK45,23,169,0,35,
MK46,3,0,0,0,
MK5,8,30,0,2,
MK6,15,0,0,0,Yes
MK7,6,0,0,0,
MK8,8,39,0,0,
MK9,1,0,0,0,
N1,38,0,0,0,
N10,13,0,0,0,
N11,14,0,0,0,
N12,13,0,0,0,
N13,7,0,0,0,
N14,17,0,0,0,
N15,18,0,0,0,
N16,42,0,0,0,
N17,27,0,0,0,
N18,7,0,0,0,
N19,10,0,0,0,
N1C,3,0,0,0,
N2,8,0,0,0,
N20,10,0,0,0,
N21,9,0,0,0,
N22,17,0,0,0,
N3,11,0,0,0,
N4,13,0,0,0,
N5,9,0,0,0,
N6,8,0,0,0,
N7,14,0,0,0,
N8,16,0,0,0,
N9,18,0,0,0,
NE1,1,0,0,0,
NE10,18,126,0,0,
NE11,6,0,0,0,
NE12,16,124,0,0,
NE13,6,0,0,0,Yes
NE15,18,0,0,20,
NE16,11,162,0,0,
NE17,1,0,0,0,
NE18,1,0,0,0,Yes
NE19,1,0,0,0,
NE2,8,0,0,0,Yes
NE20,6,0,0,0,
NE21,6,0,0,0,Yes
NE22,9,0,0,0,Yes
NE23,15,0,0,0,Yes
NE24,11,0,0,0,Yes
NE25,17,134,0,0,
NE26,6,0,0,0,Yes
NE27,5,19,0,0,
NE28,17,167,0,0,
NE29,13,129,0,0,
NE3,23,73,0,30,
NE30,9,78,0,0,
NE31,10,101,0,0,
NE32,14,189,0,0,
NE33,8,131,0,0,
NE34,19,284,0,0,
NE35,3,29,0,0,
NE36,4,55,0,0,
NE37,8,0,0,0,Yes
NE38,16,23,0,5,
NE39,4,34,0,0,
NE4,19,0,0,0,Yes
NE40,7,60,0,0,
NE41,1,0,0,0,
NE42,8,56,0,0,
NE43,3,0,0,0,
NE44,1,0,0,0,
NE45,2,0,0,0,
NE46,10,31,7,0,
NE47,8,0,0,0,
NE48,6,0,0,0,
NE49,1,17,0,0,
NE5,17,6,0,0,
NE6,17,0,0,40,
NE61,20,0,0,101,
NE62,5,82,0,0,
NE63,10,23,0,0,
NE65,12,0,0,0,
NE66,11,0,0,0,
NE67,1,0,0,0,
NE68,1,0,0,0,
NE7,4,0,0,0,Yes
NE70,1,0,0,0,
NE71,2,0,0,0,Yes
NE8,18,82,0,0,
NE9,17,246,0,0,
NG1,4,0,0,0,Yes
NG10,19,219,33,0,
NG11,14,60,0,12,
NG12,17,123,12,0,
NG13,12,132,0,0,
NG14,10,108,0,48,
NG15,16,168,6,24,
NG16,33,420,0,303,
NG17,30,162,0,0,
NG18,15,150,12,120,
NG19,27,279,12,48,
NG2,21,168,0,0,
NG20,17,41,0,84,
NG21,10,102,0,48,
NG22,16,81,36,60,
NG23,13,0,0,0,Yes
NG24,19,198,0,0,
NG25,4,60,0,0,
NG3,18,78,0,9,
NG31,27,151,21,0,
NG32,9,48,0,0,
NG33,9,38,0,0,
NG34,19,81,0,0,
NG4,19,216,0,24,
NG5,39,183,0,24,
NG6,14,0,0,30,
NG7,19,0,0,0,Yes
NG8,27,0,0,0,Yes
NG9,26,240,0,12,
NN1,11,71,0,0,
NN10,14,67,0,0,
NN11,19,146,0,0,
NN12,18,55,0,0,
NN13,12,73,0,0,
NN14,23,176,0,0,
NN15,20,47,0,0,
NN16,9,24,0,0,
NN17,13,22,9,14,
NN18,15,23,0,0,
NN2,19,40,0,0,
NN29,6,73,0,0,
NN3,31,70,0,0,
NN4,18,149,0,0,
NN5,14,66,0,0,
NN6,26,135,0,0,
NN7,22,105,0,0,
NN8,23,75,0,0,
NN9,11,19,0,9,
NP16,4,56,0,0,
NP25,1,4,0,0,
NR1,11,12,6,24,
NR10,13,24,0,0,
NR11,14,0,0,0,Yes
NR12,17,28,0,0,
NR13,13,24,0,0,
NR14,15,107,0,0,
NR15,12,0,0,0,Yes
NR16,10,0,0,0,Yes
NR17,9,0,0,0,Yes
NR18,9,0,0,0,Yes
NR19,11,96,0,25,
NR2,13,158,36,24,
NR20,9,60,0,0,
NR21,10,0,0,0,
NR22,1,0,0,0,
NR23,2,0,0,0,
NR24,1,0,36,0,
NR25,4,5,0,0,
NR26,3,0,0,0,
NR27,8,0,0,0,
NR28,5,0,0,0,
NR29,11,24,0,36,
NR3,10,0,0,0,
NR30,11,11,0,0,
NR31,20,9,0,0,
NR32,17,9,0,0,
NR33,14,10,0,0,
NR34,14,78,0,0,
NR35,9,0,0,0,Yes
NR4,11,121,0,48,
NR5,12,96,0,10,
NR6,12,48,0,30,
NR7,13,0,0,0,Yes
NR8,9,72,48,90,
NR9,12,111,14,0,
NW1,23,0,0,0,
NW10,32,0,0,0,
NW11,15,0,0,0,
NW2,20,0,0,0,
NW3,1,0,0,0,
NW3,38,0,0,0,
NW4,18,0,0,0,
NW5,14,0,0,0,
NW6,28,0,0,0,
NW7,18,0,0,0,
NW8,13,0,0,0,
NW9,23,0,0,0,
OL1,12,210,0,48,
OL10,11,123,0,0,
OL11,17,44,0,100,
OL12,28,121,0,57,
OL13,10,120,0,0,
OL14,8,0,0,0,Yes
OL15,5,40,0,0,
OL16,17,214,0,27,
OL2,21,60,0,92,
OL3,9,97,0,76,
OL4,19,0,0,30,
OL5,6,75,0,0,
OL6,19,102,0,0,
OL7,6,85,0,0,
OL8,22,238,28,178,
OL9,22,383,34,213,
OX1,11,0,0,0,
OX10,16,177,14,0,
OX11,18,233,100,0,
OX12,13,0,0,0,
OX13,9,27,0,0,
OX14,25,7,0,0,
OX15,15,57,0,0,
OX16,21,30,0,0,
OX17,11,100,0,0,
OX18,13,59,32,0,
OX2,20,0,0,0,
OX20,4,41,9,0,
OX25,3,0,0,0,
OX26,17,15,0,0,
OX27,4,10,0,0,
OX28,12,89,6,0,
OX29,17,105,0,0,
OX3,22,114,0,0,
OX33,6,20,0,0,
OX39,2,0,0,0,
OX4,26,192,0,15,
OX44,6,0,0,0,
OX49,4,0,0,0,
OX5,12,123,0,0,
OX7,17,63,0,0,
OX9,5,18,18,0,
PE1,22,22,0,0,
PE10,10,119,36,0,
PE11,24,97,0,7,
PE12,21,74,0,40,
PE13,22,31,0,0,
PE14,17,42,0,0,
PE15,9,139,0,0,
PE16,3,0,0,0,Yes
PE19,21,219,0,0,
PE2,20,171,0,0,
PE20,5,0,0,0,
PE21,19,40,0,0,
PE22,12,83,0,0,
PE23,8,0,0,0,
PE24,4,55,0,0,
PE25,9,106,0,0,
PE26,6,90,0,0,
PE27,6,72,0,0,
PE28,22,150,0,0,
PE29,14,75,0,0,
PE3,14,34,0,0,
PE30,21,0,0,0,Yes
PE31,12,9,0,0,
PE32,12,81,22,0,
PE33,9,18,0,0,
PE34,12,32,0,0,
PE36,3,0,0,0,
PE37,6,0,0,0,
PE38,7,12,0,0,
PE4,10,29,0,0,
PE5,1,22,0,0,
PE6,17,219,0,0,
PE7,18,74,13,0,
PE8,11,62,0,0,
PE9,15,46,0,0,
PL1,14,258,0,135,
PL10,2,0,0,12,
PL11,5,31,0,18,
PL12,10,186,0,36,
PL13,5,113,0,57,
PL14,16,241,16,145,
PL15,17,178,0,162,
PL16,1,0,0,0,
PL17,4,78,0,12,
PL18,3,24,0,36,
PL19,11,136,0,29,
PL2,11,113,0,109,
PL20,7,18,0,11,
PL21,10,60,0,9,
PL22,3,0,0,0,
PL23,3,0,0,0,
PL24,4,137,0,0,
PL25,9,267,0,0,
PL26,12,127,0,34,
PL27,6,122,0,3,
PL28,2,46,0,20,
PL29,1,11,0,0,
PL3,8,162,0,103,
PL30,13,126,0,68,
PL31,7,36,0,0,
PL32,3,20,0,10,
PL33,1,0,0,0,
PL34,1,9,0,10,
PL35,1,10,0,0,
PL4,10,54,117,77,
PL5,22,374,29,173,
PL6,19,359,0,189,
PL7,13,128,5,202,
PL8,4,59,0,0,
PL9,10,306,0,177,
PO1,11,0,0,0,Yes
PO10,8,59,0,0,
PO11,5,36,0,0,
PO12,16,200,0,0,
PO13,16,124,0,0,
PO14,19,140,65,0,
PO15,6,46,0,0,
PO16,11,252,0,0,
PO17,3,27,0,0,
PO18,12,35,0,0,
PO19,15,66,0,0,
PO2,16,69,0,0,
PO20,14,14,0,0,
PO21,10,105,0,0,
PO22,7,90,0,0,
PO3,6,72,0,0,
PO30,17,0,0,0,
PO31,5,0,0,0,
PO32,3,0,0,0,
PO33,10,0,0,0,
PO34,1,0,0,0,
PO35,1,0,0,0,
PO36,4,0,0,0,
PO37,2,0,0,0,
PO38,6,0,0,0,
PO39,1,0,0,0,
PO4,12,102,0,0,
PO40,1,0,0,0,
PO41,1,0,0,0,
PO5,8,40,0,0,
PO6,13,0,0,0,Yes
PO7,18,122,0,0,
PO8,14,139,0,0,
PO9,20,39,0,0,
PR1,38,43,0,15,
PR2,37,196,0,30,
PR25,18,29,0,98,
PR26,7,97,0,16,
PR3,37,157,30,54,
PR4,40,186,0,30,
PR5,23,129,0,56,
PR6,21,335,0,140,
PR7,34,434,12,134,
PR8,16,28,0,0,
PR9,15,94,0,0,
RG1,19,0,0,3,
RG10,11,201,24,0,
RG12,17,20,0,0,
RG14,20,0,0,0,Yes
RG17,8,91,0,0,
RG18,11,0,0,0,Yes
RG19,7,0,0,0,Yes
RG2,23,30,0,0,
RG20,22,96,0,0,
RG21,15,174,0,0,
RG22,16,132,0,0,
RG23,7,0,0,0,Yes
RG24,13,161,0,0,
RG25,4,33,0,0,
RG26,9,101,0,0,
RG27,11,54,0,0,
RG28,2,0,0,0,
RG29,5,37,0,0,
RG30,21,170,24,30,
RG31,15,0,0,0,Yes
RG4,21,179,111,10,
RG40,21,179,9,4,
RG41,14,99,0,0,
RG42,13,29,0,0,
RG45,8,11,0,0,
RG5,12,11,5,0,
RG6,8,101,0,0,
RG7,26,87,12,0,
RG8,1,0,0,0,
RG8,13,50,0,0,
RG9,13,17,0,0,
RH1,18,34,0,0,
RH10,24,319,0,0,
RH11,18,96,0,0,
RH12,22,128,0,0,
RH13,23,100,0,0,
RH14,6,0,0,0,
RH15,12,235,0,0,
RH16,12,0,0,0,
RH17,18,56,0,0,
RH18,3,0,0,0,
RH19,15,20,0,0,
RH2,15,0,0,0,
RH20,11,18,0,0,
RH3,1,0,0,0,Yes
RH4,9,150,0,0,
RH5,10,0,0,0,
RH6,12,71,0,0,
RH7,4,0,0,0,Yes
RH8,9,33,0,0,
RH9,2,20,0,0,
RM1,13,0,0,0,
RM10,13,0,0,0,
RM11,11,0,0,0,
RM12,12,0,0,0,
RM13,11,0,0,0,
RM14,13,0,0,0,
RM15,11,51,0,0,
RM16,16,144,0,43,
RM17,8,92,0,3,
RM18,5,7,0,34,
RM19,2,0,0,0,Yes
RM2,6,0,0,0,
RM20,1,0,0,0,Yes
RM3,14,0,0,0,
RM4,3,0,0,0,
RM5,3,0,0,0,
RM6,13,0,0,0,
RM7,7,0,0,0,
RM8,13,0,0,0,
RM9,14,0,0,0,
S1,1,0,0,0,
S10,15,206,0,0,
S11,10,128,0,10,
S12,10,0,0,0,
S13,10,94,0,12,
S14,2,0,0,0,
S17,6,30,0,0,
S18,14,354,0,121,
S2,18,48,0,4,
S20,11,71,0,0,
S21,11,3,0,0,
S25,10,56,0,0,
S26,14,0,0,0,
S3,6,0,0,0,
S32,5,19,0,0,
S33,7,0,38,38,
S35,19,147,0,8,
S36,13,160,0,0,
S4,6,0,0,0,
S40,14,373,7,86,
S41,18,246,25,59,
S42,10,150,2,7,
S43,21,93,2,24,
S44,12,115,1,3,
S45,6,102,0,8,
S5,19,0,0,0,
S6,16,44,0,0,
S60,18,26,0,0,
S61,15,0,0,0,
S62,12,20,0,0,
S63,18,0,0,46,
S64,13,0,0,0,
S65,20,0,0,0,Yes
S66,18,0,0,0,
S7,9,40,0,0,
S70,15,22,238,0,
S71,17,65,0,0,
S72,10,22,0,0,
S73,10,88,0,0,
S74,8,21,80,85,
S75,18,75,0,53,
S8,14,95,0,10,
S80,13,235,0,36,
S81,14,222,0,66,
S9,13,60,0,0,
SE1,27,0,0,0,
SE10,9,0,0,0,
SE11,14,0,0,0,
SE12,10,0,0,0,
SE13,8,0,0,0,
SE14,10,0,0,0,
SE15,28,0,0,0,
SE16,19,0,0,0,
SE17,12,0,0,0,
SE18,27,0,0,0,
SE19,12,0,0,0,
SE2,8,0,0,0,
SE20,6,0,0,0,
SE21,11,0,0,0,
SE22,11,0,0,0,
SE23,14,0,0,0,
SE24,8,0,0,0,
SE25,13,0,0,0,
SE26,10,0,0,0,
SE27,6,0,0,0,
SE28,11,0,0,0,
SE3,18,0,0,0,
SE4,9,0,0,0,
SE5,18,0,0,0,
SE6,18,0,0,0,
SE7,9,0,0,0,
SE8,12,0,0,0,
SE9,29,0,0,0,
SG1,19,0,0,0,Yes
SG10,2,0,0,0,
SG11,8,0,0,0,Yes
SG12,20,0,0,0,Yes
SG13,10,34,0,0,
SG14,12,0,0,0,Yes
SG15,2,0,0,0,Yes
SG16,4,37,0,0,
SG17,6,56,0,0,
SG18,12,39,0,0,
SG19,12,20,0,0,
SG2,22,14,0,0,
SG3,3,0,0,0,
SG4,19,97,0,0,
SG5,17,111,0,0,
SG6,17,37,0,0,
SG7,8,0,0,0,
SG8,22,118,0,0,
SG9,8,0,0,0,Yes
SK1,5,0,0,0,
SK10,22,327,46,46,
SK11,17,115,0,0,
SK12,9,110,0,0,
SK13,20,84,0,0,
SK14,22,74,0,0,
SK15,14,144,0,0,
SK16,11,77,0,0,
SK17,26,48,4,89,
SK2,11,29,0,0,
SK22,9,76,0,0,
SK23,10,23,0,29,
SK3,15,33,0,0,
SK4,19,146,0,0,
SK5,14,30,0,0,
SK6,21,118,0,0,
SK7,15,132,0,0,
SK8,32,48,60,0,
SK9,16,262,65,1,
SL0,4,23,0,0,
SL1,29,36,0,0,
SL2,23,0,0,0,Yes
SL3,21,0,0,0,
SL4,30,23,0,0,
SL5,15,0,0,0,
SL6,42,268,0,0,
SL7,12,24,0,0,
SL8,3,24,0,0,
SL9,10,96,0,0,
SM1,11,0,0,0,
SM2,7,0,0,0,Yes
SM3,9,0,0,0,
SM4,12,0,0,0,
SM5,18,0,0,0,
SM6,15,0,0,0,
SM7,8,38,0,0,
SN1,9,96,0,0,
SN10,20,107,0,0,
SN11,12,0,0,0,Yes
SN12,11,43,0,0,
SN13,7,18,0,0,
SN14,14,80,18,0,
SN15,17,73,0,0,
SN16,8,80,0,0,
SN2,15,23,0,0,
SN25,18,141,0,0,
SN26,1,0,0,0,
SN3,23,49,0,0,
SN4,12,12,0,0,
SN5,14,78,0,0,
SN6,14,120,18,0,
SN7,9,0,0,0,
SN8,15,169,0,0,
SN9,6,18,0,0,
SO14,7,0,0,0,Yes
SO15,14,0,0,0,
SO16,28,84,0,48,
SO17,5,36,0,0,
SO18,13,0,0,0,Yes
SO19,19,36,0,89,
SO20,5,0,0,39,
SO21,14,94,0,0,
SO22,11,190,0,0,
SO23,8,41,0,0,
SO24,6,33,0,0,
SO30,9,96,12,0,
SO31,15,90,0,0,
SO32,11,47,0,0,
SO40,19,143,0,0,
SO41,15,155,0,0,
SO42,2,28,0,0,
SO43,4,0,0,0,
SO45,16,158,0,0,
SO50,16,237,0,0,
SO51,15,292,2,121,
SO52,2,0,0,0,
SO53,14,153,0,0,
SP1,19,46,0,0,
SP10,19,129,0,120,
SP11,22,123,0,30,
SP2,13,53,0,0,
SP3,8,8,0,0,
SP4,20,54,0,0,
SP5,14,61,0,0,
SP6,9,93,0,0,
SP7,8,4,11,0,
SP8,7,0,0,0,
SP9,5,0,0,0,Yes
SR1,1,0,0,0,
SR2,19,8,0,2,
SR3,17,15,0,3,
SR4,16,0,0,0,Yes
SR5,16,74,0,23,
SR6,11,0,0,0,Yes
SR7,11,0,0,0,Yes
SR8,20,129,0,0,
SS0,14,0,0,0,Yes
SS1,6,186,0,0,
SS11,5,42,0,0,
SS12,7,14,0,0,
SS13,7,0,0,0,Yes
SS14,10,0,0,0,Yes
SS15,9,24,0,0,
SS16,10,23,27,0,
SS17,11,153,0,0,
SS2,13,0,0,149,
SS3,9,24,0,0,
SS4,10,48,0,0,
SS5,5,24,0,0,
SS6,10,24,0,0,
SS7,18,132,36,18,
SS8,12,42,0,0,
SS9,18,348,0,0,
ST1,14,101,0,120,
ST10,19,374,0,0,
ST11,9,96,55,55,
ST12,2,25,0,0,
ST13,17,17,24,24,
ST14,17,314,48,98,
ST15,11,604,0,98,
ST16,10,29,0,100,
ST17,22,1007,0,76,
ST18,13,325,0,20,
ST19,14,48,60,60,
ST2,15,209,0,6,
ST20,3,192,0,0,
ST21,3,0,0,0,
ST3,27,318,0,0,
ST4,22,357,269,338,
ST5,38,647,82,86,
ST6,26,364,0,60,
ST7,28,473,0,120,
ST8,10,118,27,34,
ST9,8,131,0,0,
SW10,6,0,0,0,
SW11,24,0,0,0,
SW12,16,0,0,0,
SW13,6,0,0,0,
SW14,6,0,0,0,
SW15,26,0,0,0,
SW16,16,0,0,0,
SW17,1,0,0,0,
SW17,23,0,0,0,
SW18,18,0,0,0,
SW19,31,0,0,0,
SW1E,1,0,0,0,
SW1H,1,0,0,0,
SW1P,10,0,0,0,
SW1V,7,0,0,0,
SW1W,5,0,0,0,
SW1X,5,0,0,0,
SW2,16,0,0,0,
SW20,14,0,0,0,
SW3,10,0,0,0,
SW4,17,0,0,0,
SW5,5,0,0,0,
SW6,25,0,0,0,
SW7,9,0,0,0,
SW8,9,0,0,0,
SW9,12,0,0,0,
SY1,13,91,3,0,
SY10,7,30,0,0,
SY11,12,56,0,0,
SY12,6,24,0,0,
SY13,10,0,0,0,
SY14,5,0,0,0,
SY15,1,0,0,0,
SY2,8,41,0,0,
SY3,12,33,24,0,
SY4,20,89,94,0,
SY5,13,44,0,0,
SY6,4,20,0,0,
SY7,11,30,13,0,
SY8,9,21,0,0,
SY9,3,0,0,0,Yes
TA1,16,124,0,0,
TA10,6,110,0,0,
TA11,5,36,0,0,
TA12,3,54,0,0,
TA13,2,18,0,0,
TA14,3,30,0,0,
TA15,1,24,0,0,
TA16,1,0,0,0,
TA17,1,0,0,0,
TA18,8,0,0,0,
TA19,6,31,0,0,
TA2,18,69,0,0,
TA20,11,51,0,0,
TA21,13,88,0,0,
TA22,2,18,0,0,
TA23,2,0,0,0,
TA24,9,0,0,0,
TA3,11,117,0,0,
TA4,11,208,0,0,
TA5,7,30,0,0,
TA6,21,138,0,0,
TA7,10,65,0,0,
TA8,4,12,0,0,
TA9,8,0,0,0,
TD15,16,0,0,0,
TF1,15,96,0,0,
TF10,12,96,0,0,
TF11,7,17,0,0,
TF12,3,27,18,0,
TF13,3,17,0,0,
TF2,17,84,0,0,
TF3,10,72,0,0,
TF4,11,0,0,0,
TF5,1,0,0,0,
TF6,5,36,0,0,
TF7,10,0,0,0,
TF8,2,0,0,0,
TF9,14,44,0,0,
TN1,1,0,0,0,
TN10,6,0,0,0,
TN11,13,65,0,0,
TN12,10,0,0,0,
TN13,16,77,0,0,
TN14,10,40,0,0,
TN15,14,13,0,0,
TN16,7,43,0,0,
TN17,12,53,0,0,
TN18,4,0,0,0,
TN19,3,0,0,0,Yes
TN2,12,64,0,0,
TN20,4,21,0,0,
TN21,8,120,0,24,
TN22,16,75,0,0,
TN23,15,377,61,94,
TN24,13,212,0,0,
TN25,15,141,0,0,
TN26,4,46,0,0,
TN27,8,12,0,0,
TN28,3,0,0,0,
TN29,4,11,0,0,
TN3,9,28,0,0,
TN30,6,0,0,0,
TN31,8,44,0,0,
TN32,7,28,0,0,
TN33,9,74,0,0,
TN34,6,0,0,0,Yes
TN35,8,0,0,0,Yes
TN36,2,0,0,0,Yes
TN37,6,42,0,0,
TN38,9,11,0,0,
TN39,6,0,0,0,Yes
TN4,16,117,20,0,
TN40,7,30,0,0,
TN5,6,0,0,30,
TN6,9,44,0,0,
TN7,2,0,0,0,Yes
TN8,6,22,0,0,
TN9,9,49,11,0,
TQ1,14,101,4,0,
TQ10,1,0,0,0,
TQ11,2,0,0,0,Yes
TQ12,27,121,0,0,
TQ13,14,39,0,0,
TQ14,7,0,0,0,Yes
TQ2,13,140,0,0,
TQ3,7,116,8,12,
TQ4,5,28,0,0,
TQ5,7,63,0,0,
TQ6,4,0,0,0,Yes
TQ7,9,0,0,0,Yes
TQ8,1,0,0,0,
TQ9,18,92,0,0,
TR1,11,23,0,0,
TR10,3,24,0,0,
TR11,10,98,0,0,
TR12,9,36,0,0,
TR13,12,66,0,0,
TR14,14,71,0,0,
TR15,7,0,0,0,
TR16,7,24,0,0,
TR17,1,0,0,0,
TR18,9,46,0,29,
TR19,7,41,0,0,
TR2,9,63,0,0,
TR20,8,69,0,0,
TR21,1,0,0,0,
TR26,4,20,0,0,
TR27,8,81,0,0,
TR3,7,81,0,0,
TR4,11,24,0,0,
TR5,2,0,0,0,
TR6,1,0,0,0,
TR7,6,121,0,0,
TR8,5,21,0,0,
TR9,2,36,0,0,
TS1,5,0,0,0,
TS10,15,48,0,101,
TS11,5,53,0,0,
TS12,10,0,0,0,
TS13,6,0,0,0,
TS14,7,12,0,0,
TS15,8,45,0,0,
TS16,7,25,0,0,
TS17,18,71,0,0,
TS18,8,0,0,0,
TS19,17,0,0,0,
TS2,1,0,0,0,
TS20,9,0,0,0,
TS21,7,0,0,0,Yes
TS22,5,0,0,0,
TS23,11,15,0,0,
TS24,11,0,0,0,
TS25,18,0,0,0,
TS26,7,0,0,0,
TS27,7,6,0,0,
TS28,4,0,0,0,
TS29,3,0,0,0,
TS3,19,0,0,0,
TS4,9,0,0,0,
TS5,12,2,0,2,
TS6,15,89,0,32,
TS7,11,2,0,2,
TS8,7,41,0,0,
TS9,8,0,0,0,
TW1,10,0,0,0,
TW10,12,0,0,0,
TW11,7,0,0,0,
TW12,11,0,0,0,
TW13,15,0,0,0,
TW14,8,0,0,0,
TW15,9,87,0,0,
TW16,9,32,0,0,
TW17,6,0,0,0,
TW18,8,0,0,0,Yes
TW19,3,0,0,0,
TW2,17,0,0,0,
TW20,10,30,0,0,
TW3,10,0,0,0,
TW4,8,0,0,0,
TW5,10,0,0,0,
TW7,16,0,0,0,
TW8,7,0,0,0,
TW9,10,0,0,0,
UB1,16,0,0,0,
UB10,16,0,0,0,
UB2,14,0,0,0,
UB3,15,0,0,0,
UB4,16,0,0,0,
UB5,12,0,0,0,
UB6,15,0,0,0,
UB7,12,0,0,0,
UB8,15,0,0,0,
UB9,5,0,0,0,
W10,23,0,0,0,
W11,12,0,0,0,
W12,21,0,0,0,
W13,10,0,0,0,
W14,13,0,0,0,
W1B,3,0,0,0,
W1D,1,0,0,0,
W1G,1,0,0,0,
W1H,6,0,0,0,
W1J,1,0,0,0,
W1K,1,0,0,0,
W1U,3,0,0,0,
W1W,1,0,0,0,
W2,15,0,0,0,
W3,21,0,0,0,
W4,14,0,0,0,
W5,17,0,0,0,
W6,24,0,0,0,
W7,11,0,0,0,
W8,7,0,0,0,
W9,12,0,0,0,
WA1,11,120,0,26,
WA10,13,19,0,0,
WA11,14,0,0,0,
WA12,10,18,19,0,
WA13,6,81,0,27,
WA14,16,50,0,0,
WA15,18,18,0,0,
WA16,12,118,0,60,
WA2,17,64,0,0,
WA3,23,77,0,0,
WA4,24,96,12,0,
WA5,23,141,0,0,
WA6,12,56,0,0,
WA7,40,172,0,0,
WA8,30,177,0,0,
WA9,21,33,0,0,
WC1A,1,0,0,0,
WC1B,1,0,0,0,
WC1H,1,0,0,0,
WC1N,3,0,0,0,
WC2B,2,0,0,0,
WC2E,1,0,0,0,
WD17,8,0,0,0,Yes
WD18,12,66,0,0,
WD19,9,0,0,0,
WD23,20,36,0,0,
WD24,7,67,0,0,
WD25,17,22,0,0,
WD3,25,123,0,0,
WD4,4,27,0,0,
WD5,5,0,0,0,Yes
WD6,17,0,0,0,
WD7,9,32,0,0,
WF1,19,125,0,0,
WF10,18,47,0,0,
WF11,8,0,0,0,
WF12,18,97,0,40,
WF13,15,42,0,21,
WF14,8,136,0,0,
WF15,9,102,0,89,
WF16,5,28,0,67,
WF17,27,200,0,141,
WF2,21,77,0,0,
WF3,13,255,0,6,
WF4,24,183,0,45,
WF5,12,28,0,0,
WF6,10,30,0,0,
WF7,13,102,0,0,
WF8,17,0,0,0,
WF9,18,28,0,0,
WN1,9,20,0,0,
WN2,27,22,0,0,
WN3,12,40,0,0,
WN4,14,10,0,0,
WN5,16,0,0,0,
WN6,16,70,0,0,
WN7,19,26,0,0,
WN8,31,121,0,0,
WR1,5,0,0,0,Yes
WR10,13,27,0,0,
WR11,23,66,0,0,
WR12,4,27,0,0,
WR13,8,0,0,0,Yes
WR14,15,53,0,0,
WR15,4,18,0,0,
WR2,13,120,0,0,
WR3,9,98,0,0,
WR4,8,0,0,0,Yes
WR5,15,53,0,0,
WR6,11,26,0,0,
WR7,4,0,0,0,Yes
WR8,5,63,0,0,
WR9,14,25,0,0,
WS1,16,0,0,0,
WS10,22,49,0,30,
WS11,18,421,24,63,
WS12,14,584,24,24,
WS13,16,501,60,43,
WS14,8,86,0,0,
WS15,19,204,24,24,
WS2,19,0,0,0,
WS3,25,12,0,30,
WS4,9,20,0,0,
WS5,7,0,0,0,
WS6,7,0,0,0,
WS7,11,264,0,0,
WS8,9,0,0,0,
WS9,12,86,0,0,
WV1,7,0,0,0,
WV10,23,0,0,0,
WV11,16,0,0,0,
WV12,11,0,0,0,
WV13,5,0,0,0,
WV14,22,0,0,0,Yes
WV15,3,0,0,0,
WV16,9,27,0,0,
WV2,5,0,0,0,
WV3,13,0,0,0,
WV4,20,0,0,0,
WV5,8,57,0,0,
WV6,22,120,60,60,
WV7,3,0,0,0,
WV8,9,80,18,18,
WV9,2,0,0,0,
YO10,11,49,0,0,
YO11,13,0,0,0,Yes
YO12,13,85,14,0,
YO13,7,0,0,0,
YO14,4,0,0,0,Yes
YO15,4,0,0,0,
YO16,10,0,0,0,Yes
YO17,15,10,0,0,
YO18,6,58,0,0,
YO19,7,0,0,0,
YO21,14,0,0,0,Yes
YO22,7,0,0,0,
YO23,10,142,56,0,
YO24,12,0,0,0,Yes
YO25,20,0,0,0,Yes
YO26,14,76,0,0,
YO30,10,71,7,0,
YO31,9,33,16,0,
YO32,9,42,0,36,
YO41,7,0,0,0,
YO42,9,9,0,0,
YO43,6,0,0,0,Yes
YO51,5,27,0,0,
YO60,5,0,0,0,
YO61,10,70,0,0,
YO62,12,0,0,0,Yes
YO7,17,14,0,0,
YO8,25,48,0,0,
