Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
B27,,73,0,0,77,0,20,0,0,0,0
B28,,80,0,0,94,0,5,0,80,34,7
B29,,133,0,0,169,0,9,0,44,0,44
B30,,121,0,23,120,0,18,0,0,0,0
B31,,157,1,0,230,0,11,0,55,52,128
B32,,123,3,41,329,47,16,7,44,0,224
B33,YES,417,1,0,283,0,18,0,11,0,0
B34,,116,0,0,90,0,6,0,50,0,44
B35,,0,1,0,36,0,23,0,22,0,75
B36,,334,0,0,247,0,16,0,19,75,26
B37,,661,0,319,622,344,22,269,36,338,357
B38,,0,1,0,100,0,10,0,0,0,0
B42,YES,0,0,0,30,0,9,0,11,0,0
B43,,125,1,0,129,0,19,0,21,0,49
B44,,96,0,0,92,0,10,0,40,0,65
B45,,160,2,0,247,0,10,0,30,0,42
B46,,53,1,0,0,0,7,0,14,0,93
B47,YES,47,0,0,30,0,3,0,33,0,0
B48,,0,0,0,0,0,2,0,0,0,0
B49,,85,2,0,66,0,23,0,13,116,108
B50,,32,1,0,35,0,6,0,17,0,19
B60,,113,1,0,156,0,26,0,0,0,0
B61,,197,3,0,308,0,32,0,3,0,49
B62,,140,0,0,109,0,7,0,43,0,38
B63,,271,5,0,155,21,13,10,31,5,92
B64,YES,54,0,0,32,0,6,0,33,0,0
B65,,55,0,0,44,0,13,0,15,0,12
B66,,44,0,0,29,0,10,0,10,0,25
B67,,57,0,0,92,0,9,0,0,0,0
B68,,154,0,0,93,0,20,0,30,0,129
B69,,246,4,28,203,0,14,0,21,0,63
B70,,67,0,0,39,0,9,0,33,0,27
B71,,68,1,0,60,0,7,0,71,0,13
B72,YES,102,3,0,83,0,12,0,33,0,0
B73,,108,2,0,125,0,8,0,13,0,57
B74,,139,0,0,80,12,7,0,71,0,63
B75,YES,149,0,0,0,0,11,0,36,0,0
B76,,84,1,0,0,0,8,0,25,23,19
B77,,67,4,0,159,0,22,0,14,0,61
B78,,26,1,0,58,0,24,0,0,0,0
B79,,69,0,0,129,0,9,0,44,0,24
B80,,25,0,0,0,0,5,0,0,0,0
B90,,583,0,70,762,126,26,0,27,60,364
B91,YES,705,1,124,812,122,22,0,5,0,0
B92,,414,1,0,360,0,17,0,29,40,0
B93,,333,2,0,352,0,18,0,6,0,18
B94,,39,0,0,80,0,3,0,100,0,41
B95,,82,0,15,58,0,13,9,23,14,22
B96,YES,39,0,0,33,0,5,0,20,0,0
B97,,84,0,0,113,0,5,0,40,0,91
B98,,283,2,0,102,138,16,0,31,55,166
BA1,,40,2,0,19,0,17,0,12,0,29
BA2,,36,0,0,39,0,5,0,40,0,36
BA3,,62,0,0,141,0,16,0,0,0,0
BA4,,51,0,0,59,0,7,0,29,0,24
BA5,,73,0,0,63,0,11,0,18,0,36
BA6,,18,0,0,19,0,9,0,33,0,64
BA7,,223,3,0,34,0,16,20,31,0,117
BA8,,43,0,0,24,0,4,0,50,0,25
BA9,,24,0,0,12,0,3,0,0,0,0
BA10,,0,0,0,0,0,4,0,25,0,6
BA11,,0,0,0,36,0,7,0,0,0,0
